month,wPop,ePop,mAHeight
1,13,18723,39.55
2,13,18447,44.138
3,13,18189,48.824
4,22,17867,35.99
5,22,25151,41.3
6,21,24785,46.814
7,21,24412,52.562
8,21,24040,58.357
9,21,23679,64.098
10,21,23301,69.637
11,19,22971,75.043
12,18,22613,80.139
13,34,22114,85.094
14,34,21648,89.76
15,33,21186,94.134
16,52,20611,50.775
17,52,26300,57.805
18,50,25683,64.824
19,50,25108,71.947
20,49,24576,79.132
21,47,24041,86.164
22,47,23471,92.893
23,46,22919,99.243
24,45,22410,105.193
25,44,21891,110.644
26,44,21376,115.696
27,41,20848,120.247
28,65,20259,53.063
29,65,26351,60.828
30,64,25686,68.824
31,64,25001,77.227
32,63,24385,85.499
33,63,23765,94.001
34,62,23099,102.259
35,62,22465,110.192
36,60,21865,117.505
37,58,21253,124.316
38,57,20675,130.06
39,41,20083,134.941
40,67,19445,57.745
41,66,25094,66.677
42,65,24403,76.127
43,64,23730,85.96
44,62,23082,95.939
45,60,22454,105.847
46,58,21888,115.522
47,57,21316,124.444
48,56,20755,131.742
49,55,20184,138.119
50,55,19655,142.633
51,43,19088,146.215
52,61,18489,60.46
53,60,24131,71.269
54,60,23477,82.998
55,59,22820,95.34
56,54,22204,108.062
57,53,21606,120.253
58,53,21037,130.77
59,53,20550,139.177
60,52,20015,145.629
61,51,19504,149.646
62,50,18986,152.37
63,33,18470,154.176
64,56,17899,63.207
65,56,23287,77.144
66,53,22680,93.627
67,53,22115,111.442
68,53,21595,127.397
69,53,21006,140.178
70,52,20459,148.178
71,50,19913,153.152
72,49,19413,155.61
73,49,18860,156.748
74,48,18391,157.263
75,42,17921,157.555
76,64,17325,66.876
77,64,22448,87.525
78,63,21801,110.874
79,63,21178,132.169
80,62,20540,146.63
81,62,19958,153.973
82,62,19345,156.886
83,61,18737,157.842
84,60,18153,158.122
85,60,17606,158.285
86,60,17034,158.334
87,45,16494,158.396
88,64,15938,70.042
89,64,20511,96.356
90,63,19898,125.886
91,61,19296,146.16
92,61,18710,154.961
93,60,18144,157.511
94,60,17591,158.322
95,59,17017,158.439
96,58,16486,158.588
97,57,15941,158.551
98,54,15376,158.706
99,41,14866,158.813
100,63,14300,74.818
101,62,18562,111.828
102,61,17984,143.718
103,58,17426,155.735
104,58,16862,158.521
105,58,16334,158.959
106,58,15779,159.174
107,57,15251,159.123
108,57,14737,159.205
109,56,14203,158.99
110,54,13715,158.983
111,41,13210,158.897
112,59,12673,81.252
113,58,16283,127.246
114,58,15741,152.905
115,58,15203,158.148
116,58,14723,158.795
117,58,14179,158.844
118,56,13692,159.064
119,55,13179,159.127
120,55,12691,159.336
