month,wPop,ePop,aPop,mAHeight
1,14,18704,84871,39.491
2,13,18475,75339,44.055
3,13,18219,66792,48.75
4,23,17912,96598,35.989
5,23,25129,86505,41.276
6,21,24715,78015,46.802
7,19,24321,71044,52.55
8,19,23971,65256,58.359
9,19,23597,60558,64.067
10,19,23241,56460,69.612
11,19,22884,52796,74.946
12,19,22521,49633,80.12
13,36,22062,46757,85.02
14,35,21627,44306,89.648
15,34,21196,42040,94.016
16,52,20640,82340,50.937
17,51,26434,74637,57.925
18,50,25832,67776,64.979
19,50,25217,61565,72.101
20,48,24647,56043,79.088
21,46,24086,51168,86.071
22,45,23587,46823,92.848
23,44,23076,43101,99.233
24,44,22564,39904,105.215
25,44,22046,37210,110.657
26,44,21514,34783,115.808
27,37,21015,32756,120.323
28,64,20378,77946,53.293
29,63,26559,69338,61.091
30,63,25887,61570,69.18
31,61,25245,54805,77.53
32,57,24612,48725,86.112
33,57,24002,43468,94.605
34,57,23386,39010,102.866
35,57,22817,35125,110.962
36,56,22209,31976,118.238
37,56,21605,29296,124.89
38,56,21058,27112,130.575
39,45,20495,25396,135.207
40,63,19935,61906,57.664
41,63,25873,53980,66.831
42,62,25212,46892,76.579
43,60,24550,40792,86.546
44,58,23918,35558,96.811
45,58,23325,31194,107.028
46,56,22689,27655,116.684
47,53,22088,24765,125.489
48,52,21552,22551,133.023
49,52,20993,20827,139.27
50,50,20447,19525,143.719
51,33,19890,18532,146.974
52,54,19353,46274,60.889
53,54,25196,38888,72.419
54,53,24549,32515,84.967
55,52,23933,27361,98.243
56,52,23409,23114,111.924
57,52,22838,20007,124.355
58,49,22261,17766,134.486
59,49,21734,16197,142.258
60,47,21173,15093,147.598
61,47,20663,14314,150.934
62,47,20170,13712,153.07
63,39,19650,13230,154.462
64,62,19018,33021,63.705
65,61,24588,26422,78.673
66,60,23921,20919,96.31
67,60,23280,16899,114.494
68,58,22663,14176,130.547
69,58,22043,12501,142.335
70,58,21484,11389,150.135
71,58,20886,10735,153.913
72,57,20293,10247,155.862
73,56,19723,9888,156.592
74,56,19186,9589,156.966
75,42,18622,9297,157.139
76,63,18018,22476,66.41
77,63,23374,16600,87.393
78,62,22708,12417,111.724
79,62,22045,9889,133.829
80,62,21423,8598,147.715
81,59,20803,7930,154.34
82,57,20205,7560,156.591
83,57,19665,7294,157.436
84,57,19095,7069,157.484
85,57,18492,6836,157.582
86,57,17913,6634,157.568
87,42,17374,6458,157.603
88,61,16784,14424,71.515
89,61,21714,9784,101.655
90,60,21073,7136,133.154
91,59,20464,6088,149.809
92,58,19893,5655,155.87
93,58,19338,5440,157.147
94,58,18739,5261,157.563
95,57,18178,5090,157.547
96,56,17608,4925,157.546
97,54,17082,4767,157.495
98,53,16544,4624,157.563
99,42,16035,4481,157.627
100,65,15440,9298,76.927
101,64,20032,5769,118.651
102,63,19414,4430,147.806
103,62,18808,4053,156.038
104,62,18210,3886,157.696
105,61,17621,3777,157.999
106,60,17011,3681,158.013
107,59,16442,3582,158.213
108,57,15917,3493,158.442
109,57,15385,3391,158.334
110,57,14850,3271,158.396
111,43,14278,3182,158.482
112,65,13718,5968,84.386
113,63,17743,3544,135.523
114,62,17141,2950,155.851
115,61,16572,2818,158.152
116,61,15984,2739,158.323
117,60,15429,2653,158.177
118,60,14906,2583,157.916
119,59,14376,2505,157.977
120,59,13850,2436,158.038
