month,wPop,ePop,mAHeight
1,5,18792,39.476
2,5,18559,44.041
3,5,18358,48.74
4,9,18117,35.935
5,9,25548,41.233
6,9,25227,46.835
7,9,24897,52.576
8,9,24569,58.378
9,9,24284,64.128
10,9,23973,69.704
11,9,23673,75.118
12,9,23381,80.244
13,15,23051,85.139
14,15,22725,89.691
15,15,22412,94.129
16,27,21961,51.042
17,27,28345,58.351
18,27,27898,65.709
19,27,27456,73.186
20,26,27012,80.601
21,25,26563,87.886
22,25,26141,94.716
23,25,25716,101.124
24,24,25283,106.977
25,24,24869,112.45
26,24,24472,117.165
27,21,24103,121.234
28,31,23651,53.726
29,31,31081,62.211
30,30,30598,71.324
31,28,30108,80.754
32,28,29641,90.634
33,28,29154,100.196
34,26,28671,109.579
35,25,28212,117.884
36,25,27743,124.97
37,25,27304,130.544
38,25,26869,134.92
39,19,26456,138.041
40,27,26041,59.207
41,27,33997,71.184
42,26,33492,84.354
43,26,32995,98.307
44,26,32532,112.298
45,26,32044,124.018
46,26,31537,133.386
47,26,31062,139.564
48,26,30588,143.494
49,25,30122,145.388
50,25,29641,146.555
51,20,29208,147.42
52,30,28763,64.147
53,29,37877,82.998
54,28,37302,104.268
55,28,36719,124.406
56,27,36188,138.506
57,27,35673,145.292
58,27,35184,147.858
59,26,34662,149.019
60,26,34137,149.412
61,26,33587,149.522
62,26,33050,149.623
63,22,32594,149.627
64,30,32089,70.644
65,30,42132,102.551
66,29,41572,132.765
67,29,40978,145.88
68,28,40379,149.063
69,28,39796,149.873
70,28,39224,149.898
71,28,38659,149.871
72,27,38031,149.881
73,26,37432,149.921
74,26,36912,149.961
75,20,36348,150.019
76,32,35763,83.247
77,32,47060,131.762
78,32,46404,148.255
79,32,45734,149.875
80,32,45096,150.039
81,30,44462,150.014
82,30,43784,149.879
83,28,43175,149.891
84,28,42544,149.906
85,28,41898,149.926
86,28,41321,149.825
87,24,40741,149.86
88,35,40145,106.515
89,34,52781,148.325
90,34,52025,149.932
91,32,51308,149.998
92,30,50569,150.066
93,29,49885,150.03
94,29,49200,150.111
95,29,48491,150.207
96,29,47822,150.219
97,29,47140,150.174
98,29,46505,150.147
99,19,45827,150.222
100,30,45189,137.54
101,29,59408,150.35
102,29,58591,150.506
103,29,57835,150.503
104,29,57128,150.553
105,29,56374,150.75
106,29,55642,150.827
107,29,54851,150.857
108,29,54123,150.798
109,29,53418,150.716
110,29,52704,150.866
111,24,52000,150.947
112,35,51273,150.068
113,35,67476,151.182
114,34,66616,151.245
115,33,65740,151.23
116,33,64850,151.068
117,33,63995,151.288
118,33,63145,151.484
119,32,62316,151.601
120,32,61524,151.8
