month,wPop,ePop,mAHeight
1,10,18785,39.508
2,9,18507,44.076
3,9,18252,48.763
4,13,17989,35.983
5,13,25417,41.297
6,12,25099,46.86
7,12,24795,52.617
8,12,24494,58.465
9,11,24145,64.24
10,11,23821,69.84
11,10,23471,75.205
12,10,23192,80.378
13,21,22815,85.236
14,19,22486,89.871
15,19,22137,94.202
16,34,21700,51.014
17,34,27966,58.163
18,33,27456,65.451
19,33,27002,72.955
20,32,26531,80.17
21,32,26048,87.29
22,32,25571,94.125
23,32,25093,100.722
24,31,24620,106.749
25,29,24196,112.211
26,27,23783,117.14
27,24,23391,121.355
28,40,22902,53.711
29,40,29976,62.106
30,39,29440,70.989
31,39,28860,80.079
32,38,28345,89.467
33,38,27840,98.979
34,37,27327,107.962
35,37,26833,116.351
36,37,26317,123.735
37,36,25857,129.894
38,36,25346,134.717
39,29,24898,138.319
40,45,24377,58.842
41,45,31943,70.015
42,45,31395,82.293
43,45,30811,95.355
44,45,30191,108.308
45,45,29596,120.452
46,45,28998,130.373
47,45,28405,137.568
48,44,27831,142.354
49,43,27259,145.542
50,43,26730,147.504
51,33,26160,148.918
52,51,25555,62.909
53,51,33273,78.637
54,51,32590,96.659
55,51,31905,114.805
56,49,31251,130.398
57,49,30621,141.44
58,49,30001,147.542
59,49,29369,150.277
60,48,28722,151.722
61,47,28103,152.291
62,46,27555,152.578
63,35,26987,152.807
64,50,26334,67.767
65,50,34543,92.437
66,50,33915,119.637
67,50,33278,139.63
68,50,32610,148.852
69,50,31990,152.261
70,49,31312,153.201
71,48,30681,153.356
72,48,30067,153.509
73,47,29477,153.558
74,46,28890,153.533
75,34,28317,153.51
76,51,27733,75.005
77,50,36341,114.708
78,49,35666,143.999
79,49,35006,151.528
80,49,34294,153.276
81,49,33656,153.43
82,48,33002,153.51
83,47,32401,153.555
84,46,31796,153.465
85,46,31166,153.54
86,46,30582,153.591
87,39,29984,153.615
88,54,29308,88.359
89,53,38391,140.854
90,53,37670,152.813
91,53,36963,153.885
92,52,36237,153.91
93,52,35549,153.811
94,51,34872,153.778
95,50,34191,153.784
96,50,33503,153.743
97,47,32856,153.775
98,46,32235,153.693
99,35,31630,153.636
100,55,30974,110.009
101,54,40334,152.276
102,53,39587,153.63
103,53,38866,153.431
104,51,38104,153.494
105,50,37401,153.461
106,48,36729,153.441
107,48,36096,153.441
108,48,35427,153.368
109,46,34804,153.458
110,46,34161,153.441
111,34,33559,153.441
112,49,32890,139.101
113,49,43130,153.528
114,49,42392,153.58
115,47,41642,153.661
116,45,40944,153.858
117,43,40262,153.861
118,43,39621,153.77
119,43,38937,153.746
120,43,38255,153.753
