month,wPop,ePop,mAHeight
1,5,18778,39.548
2,5,18548,44.133
3,5,18321,48.804
4,11,18063,35.971
5,11,25369,41.292
6,11,25035,46.862
7,11,24683,52.563
8,11,24356,58.325
9,11,24042,64.029
10,11,23725,69.639
11,11,23433,74.971
12,11,23112,80.156
13,16,22774,85.078
14,16,22421,89.75
15,15,22104,94.099
16,27,21706,51.037
17,27,27887,58.154
18,26,27463,65.368
19,26,27047,72.692
20,26,26562,79.921
21,26,26117,87.209
22,26,25700,93.947
23,26,25285,100.646
24,26,24863,106.654
25,26,24485,112.109
26,26,24100,116.906
27,21,23696,121.083
28,33,23262,53.646
29,33,30516,62.24
30,32,29980,71.386
31,32,29479,80.643
32,32,29016,90.199
33,32,28530,99.827
34,32,28012,108.981
35,32,27555,117.479
36,32,27080,124.475
37,31,26626,130.251
38,30,26179,134.721
39,20,25729,138.259
40,29,25297,59.121
41,29,33105,70.472
42,27,32588,82.961
43,26,32081,96.477
44,25,31591,109.944
45,25,31116,121.722
46,25,30661,131.648
47,25,30189,138.686
48,25,29709,143.082
49,25,29219,145.503
50,25,28762,147.171
51,22,28349,148.205
52,31,27873,63.637
53,31,36586,81.21
54,30,36054,101.921
55,30,35508,121.913
56,30,34967,137.14
57,30,34418,145.199
58,30,33856,148.634
59,30,33302,149.976
60,29,32761,150.386
61,29,32239,150.609
62,29,31729,150.758
63,23,31221,150.896
64,28,30686,70.528
65,25,40293,100.895
66,25,39734,130.846
67,25,39183,145.822
68,25,38639,150.04
69,24,38083,151.039
70,22,37534,151.269
71,22,37026,151.314
72,22,36511,151.284
73,22,36008,151.275
74,20,35518,151.276
75,16,35040,151.224
76,25,34556,82.241
77,25,45549,131.051
78,24,44921,148.985
79,24,44288,150.926
80,24,43711,151.11
81,24,43123,151.178
82,24,42570,151.188
83,24,41961,151.275
84,23,41392,151.276
85,21,40803,151.24
86,21,40266,151.155
87,16,39746,151.086
88,25,39189,106.144
89,24,51520,149.268
90,23,50864,151.044
91,23,50208,151.206
92,22,49603,151.173
93,22,48970,151.251
94,22,48319,151.287
95,22,47724,151.255
96,22,47079,151.185
97,22,46453,151.197
98,22,45821,151.198
99,16,45237,151.181
100,27,44604,139.379
101,27,58527,151.168
102,27,57767,151.221
103,26,56998,151.189
104,26,56276,151.191
105,26,55542,151.29
106,26,54854,151.204
107,26,54152,151.152
108,26,53455,151.211
109,26,52745,151.059
110,26,52066,151.01
111,21,51406,151.151
112,32,50737,150.008
113,31,66724,151.101
114,30,65897,151.182
115,30,65075,151.218
116,30,64230,151.22
117,30,63380,151.348
118,30,62531,151.421
119,30,61739,151.524
120,30,60909,151.44
