month,wPop,ePop,aPop,mAHeight
1,5,18791,84936,39.493
2,5,18552,75572,44.081
3,5,18360,67113,48.779
4,9,18116,97355,35.985
5,9,25519,87244,41.244
6,9,25236,78773,46.775
7,9,24930,71785,52.564
8,9,24620,65926,58.356
9,9,24313,60994,64.138
10,9,24033,56719,69.769
11,9,23738,52975,75.188
12,9,23451,49730,80.357
13,15,23152,46828,85.268
14,15,22828,44240,89.882
15,15,22514,41919,94.251
16,28,22109,82328,50.941
17,28,28536,74357,58.165
18,28,28045,67033,65.537
19,27,27601,60568,72.892
20,27,27149,54872,80.185
21,27,26710,49714,87.659
22,27,26268,45452,94.433
23,27,25863,41770,101.01
24,27,25444,38638,107.082
25,27,25038,35933,112.478
26,27,24618,33758,117.211
27,22,24188,31860,121.364
28,31,23724,75827,53.632
29,31,31195,66347,62.278
30,31,30698,57921,71.42
31,31,30183,50411,80.978
32,30,29675,44076,90.671
33,30,29181,38796,100.289
34,29,28699,34440,109.485
35,29,28210,30884,117.727
36,29,27733,28171,124.821
37,29,27286,26073,130.684
38,29,26844,24505,134.895
39,19,26405,23259,138.107
40,30,25956,56177,59.212
41,29,34073,46735,71.159
42,29,33530,38753,84.159
43,29,33017,32187,97.981
44,28,32507,27268,111.566
45,28,32015,23645,123.741
46,27,31551,21235,132.729
47,26,31031,19551,138.982
48,26,30568,18437,142.93
49,26,30066,17612,145.252
50,24,29603,16951,146.77
51,19,29173,16401,147.582
52,28,28675,38706,64.055
53,27,37794,29352,82.633
54,27,37268,22338,104.187
55,26,36722,17908,124.241
56,25,36193,15494,137.705
57,25,35700,14227,144.826
58,25,35171,13518,147.768
59,25,34635,13038,149.097
60,25,34132,12617,149.716
61,25,33639,12223,149.981
62,25,33097,11839,150.044
63,22,32567,11475,150.086
64,35,32012,24346,71.658
65,35,42042,16175,103.694
66,33,41392,11954,133.505
67,33,40753,10526,146.101
68,32,40116,9958,149.62
69,32,39526,9609,150.285
70,32,38957,9313,150.309
71,31,38402,9052,150.333
72,31,37813,8779,150.389
73,31,37231,8526,150.42
74,30,36656,8265,150.438
75,25,36119,8015,150.455
76,32,35526,14528,83.184
77,31,46556,8697,132.284
78,31,45892,7445,148.623
79,31,45207,7120,150.357
80,30,44553,6896,150.51
81,30,43963,6685,150.546
82,30,43347,6510,150.645
83,29,42741,6326,150.642
84,29,42118,6144,150.722
85,28,41534,5980,150.677
86,28,40950,5802,150.758
87,21,40354,5637,150.739
88,32,39735,7950,105.35
89,32,52467,5381,148.908
90,32,51755,5159,150.572
91,31,51038,5013,150.573
92,30,50320,4860,150.427
93,29,49596,4728,150.37
94,28,48926,4591,150.375
95,27,48210,4461,150.422
96,27,47604,4316,150.433
97,27,46976,4173,150.487
98,27,46334,4037,150.497
99,23,45715,3938,150.503
100,35,45050,4214,136.999
101,35,58976,3707,150.573
102,35,58193,3577,150.592
103,35,57345,3464,150.548
104,35,56552,3352,150.469
105,35,55790,3255,150.56
106,35,54992,3142,150.482
107,35,54185,3053,150.413
108,33,53422,2978,150.446
109,33,52703,2895,150.553
110,33,52000,2815,150.686
111,25,51265,2728,150.774
112,38,50491,2662,150.021
113,37,66438,2574,151.041
114,37,65519,2502,150.922
115,37,64615,2431,151.051
116,37,63753,2359,151.151
117,35,62895,2293,151.198
118,33,61975,2227,151.32
119,33,61109,2166,151.289
120,32,60294,2102,151.222
