month,wPop,ePop,mAHeight
1,18,18719,39.559
2,18,18399,44.132
3,17,18110,48.814
4,32,17729,35.956
5,32,24791,41.238
6,31,24327,46.781
7,31,23863,52.519
8,31,23424,58.295
9,31,22990,63.964
10,31,22568,69.504
11,30,22144,74.918
12,29,21745,80.049
13,50,21183,84.977
14,47,20641,89.654
15,47,20112,94.013
16,77,19391,50.734
17,74,24670,57.506
18,74,23961,64.417
19,74,23212,71.196
20,70,22496,78.105
21,70,21833,84.815
22,70,21180,91.28
23,70,20493,97.508
24,68,19824,103.464
25,66,19233,109.032
26,62,18638,114.14
27,54,18067,118.869
28,85,17349,52.866
29,84,22385,59.919
30,81,21607,67.073
31,80,20868,74.325
32,79,20139,81.649
33,78,19418,89.049
34,77,18706,96.363
35,75,18021,103.414
36,74,17376,110.322
37,70,16725,116.773
38,69,16133,122.911
39,56,15518,128.55
40,92,14818,56.191
41,90,18971,63.332
42,87,18176,70.671
43,86,17409,77.983
44,85,16656,85.525
45,84,15924,92.898
46,84,15228,100.125
47,82,14527,106.957
48,81,13862,113.755
49,78,13179,120.224
50,75,12527,126.364
51,59,11898,131.761
52,87,11185,56.617
53,87,14146,63.242
54,87,13455,69.873
55,87,12772,76.362
56,86,12077,82.95
57,86,11378,89.35
58,86,10716,95.753
59,86,10022,101.899
60,85,9380,107.817
61,84,8758,113.66
62,84,8110,119.172
63,64,7491,124.381
64,95,6826,54.997
65,93,8399,60.405
66,93,7719,65.781
67,92,7038,71.104
68,92,6394,76.255
69,91,5722,81.296
70,89,5088,86.167
71,88,4475,90.832
72,87,3847,95.381
73,87,3308,99.752
74,86,2745,104.0
75,64,2139,108.056
76,93,1472,52.069
77,92,1355,56.279
78,90,744,60.325
79,88,145,64.336
80,86,0,68.27
81,85,0,72.213
82,84,0,76.14
83,83,0,80.052
84,81,0,83.943
85,79,0,87.894
86,78,0,91.883
87,60,0,95.792
88,91,0,50.093
89,89,0,54.239
90,89,0,58.467
91,89,0,62.659
92,88,0,66.862
93,88,0,71.114
94,88,0,75.308
95,87,0,79.558
96,85,0,83.75
97,84,0,87.945
98,84,0,92.152
99,68,0,96.357
100,99,0,50.209
101,98,0,54.553
102,97,0,58.851
103,95,0,63.177
104,92,0,67.51
105,91,0,71.852
106,86,0,76.203
107,85,0,80.569
108,84,0,84.887
109,83,0,89.209
110,82,0,93.516
111,68,0,97.854
112,101,0,50.618
113,100,0,55.052
114,95,0,59.47
115,94,0,63.883
116,92,0,68.26
117,89,0,72.672
118,89,0,77.084
119,86,0,81.452
120,83,0,85.852
