month,wPop,ePop,mAHeight
1,14,18707,39.514
2,14,18438,44.092
3,13,18160,48.779
4,22,17835,36.107
5,22,24954,41.451
6,20,24584,46.992
7,20,24208,52.73
8,20,23841,58.51
9,19,23475,64.181
10,18,23105,69.731
11,18,22791,75.087
12,17,22440,80.232
13,34,21968,85.108
14,32,21522,89.782
15,31,21077,94.173
16,54,20506,50.991
17,53,26121,57.979
18,53,25504,65.056
19,49,24925,72.108
20,48,24353,79.16
21,48,23766,85.98
22,47,23211,92.719
23,47,22664,98.986
24,45,22111,105.021
25,45,21595,110.657
26,43,21074,115.715
27,38,20552,120.274
28,57,19969,53.116
29,54,26140,60.796
30,54,25526,68.667
31,54,24922,76.848
32,53,24303,85.23
33,52,23714,93.515
34,51,23104,101.809
35,50,22559,109.751
36,50,21997,117.044
37,49,21406,123.731
38,48,20861,129.746
39,32,20332,134.774
40,57,19773,57.891
41,57,25694,66.869
42,57,25038,76.373
43,57,24454,86.275
44,57,23832,96.536
45,55,23228,106.847
46,55,22651,116.624
47,54,22048,125.488
48,53,21491,132.765
49,53,20896,138.753
50,53,20360,143.448
51,41,19824,146.897
52,64,19207,60.729
53,63,24935,72.004
54,60,24265,83.795
55,59,23644,96.742
56,59,23033,109.736
57,56,22414,122.13
58,56,21852,132.961
59,56,21283,141.301
60,54,20727,146.88
61,52,20185,150.734
62,52,19636,153.287
63,37,19128,154.806
64,59,18584,63.461
65,58,24021,78.265
66,57,23420,94.98
67,56,22843,113.086
68,55,22251,129.375
69,55,21682,142.179
70,55,21116,150.239
71,55,20563,154.641
72,53,20000,156.846
73,53,19437,157.678
74,52,18919,158.095
75,40,18410,158.307
76,66,17799,66.815
77,65,23128,87.106
78,65,22495,111.562
79,65,21856,133.127
80,64,21176,147.584
81,62,20528,154.596
82,61,19942,157.306
83,61,19348,158.283
84,59,18736,158.832
85,59,18183,158.968
86,58,17604,159.035
87,48,17088,159.049
88,71,16412,70.809
89,71,21208,99.518
90,71,20560,130.847
91,71,19891,149.561
92,71,19234,156.739
93,70,18597,158.262
94,69,17948,159.069
95,67,17343,159.225
96,66,16720,159.224
97,66,16134,159.223
98,66,15539,159.238
99,54,14969,159.273
100,72,14326,74.868
101,72,18518,111.915
102,72,17853,145.609
103,71,17214,156.877
104,71,16588,159.12
105,69,15951,159.354
106,67,15339,159.536
107,67,14760,159.643
108,66,14194,159.71
109,66,13621,159.658
110,65,13059,159.811
111,51,12502,159.753
112,72,11873,80.834
113,71,15241,126.816
114,70,14641,153.699
115,68,14036,159.184
116,67,13444,159.885
117,66,12848,159.95
118,65,12287,159.963
119,62,11705,160.044
120,61,11162,160.108
