month,wPop,ePop,mAHeight
1,18,18674,39.513
2,18,18381,44.082
3,18,18083,48.782
4,30,17691,36.001
5,28,24781,41.239
6,28,24319,46.79
7,28,23895,52.523
8,27,23443,58.221
9,26,23037,63.904
10,26,22631,69.467
11,25,22240,74.805
12,24,21831,79.936
13,47,21290,84.863
14,47,20784,89.472
15,46,20320,93.908
16,84,19602,50.72
17,83,24861,57.515
18,81,24084,64.339
19,79,23324,71.237
20,78,22592,78.061
21,76,21830,84.765
22,74,21166,91.204
23,73,20508,97.342
24,73,19785,103.277
25,70,19111,108.873
26,68,18466,113.925
27,59,17824,118.665
28,90,17078,52.574
29,90,22006,59.431
30,89,21163,66.597
31,86,20335,73.722
32,85,19572,80.99
33,83,18836,88.213
34,82,18131,95.323
35,81,17426,102.331
36,80,16742,109.128
37,78,16043,115.546
38,78,15406,121.632
39,59,14724,127.152
40,93,13943,55.752
41,93,17835,62.639
42,90,17050,69.497
43,90,16296,76.249
44,85,15569,83.086
45,81,14836,89.998
46,80,14105,96.785
47,80,13454,103.45
48,78,12779,109.942
49,77,12103,116.286
50,76,11484,122.076
51,59,10886,127.694
52,89,10204,55.967
53,88,12900,62.039
54,87,12173,68.12
55,83,11481,74.092
56,82,10828,80.048
57,81,10171,86.039
58,80,9497,91.945
59,79,8906,97.615
60,77,8320,103.163
61,77,7755,108.746
62,76,7131,114.047
63,61,6543,118.931
64,91,5874,53.962
65,89,7134,58.984
66,89,6482,64.036
67,86,5854,68.971
68,83,5233,73.703
69,83,4650,78.359
70,83,4080,82.93
71,81,3499,87.339
72,81,2942,91.789
73,80,2389,96.018
74,80,1812,100.15
75,59,1269,104.153
76,88,684,51.511
77,87,315,55.641
78,86,1,59.697
79,84,1,63.729
80,83,1,67.775
81,83,1,71.807
82,82,1,75.779
83,82,1,79.806
84,80,1,83.831
85,78,1,87.88
86,76,1,91.96
87,61,1,95.981
88,95,1,50.153
89,93,1,54.415
90,93,1,58.675
91,91,1,62.943
92,91,1,67.209
93,88,1,71.47
94,86,1,75.725
95,84,1,79.926
96,83,1,84.161
97,81,1,88.462
98,79,1,92.687
99,63,1,96.97
100,99,1,50.433
101,97,1,54.806
102,97,1,59.208
103,95,1,63.57
104,94,1,67.923
105,93,1,72.261
106,93,1,76.611
107,93,1,81.01
108,89,1,85.354
109,88,1,89.749
110,88,1,94.081
111,70,1,98.455
112,101,1,50.753
113,98,2,55.197
114,96,2,59.6
115,94,2,64.022
116,92,2,68.448
117,90,2,72.847
118,88,2,77.287
119,86,2,81.696
120,85,2,86.097
