month,wPop,ePop,aPop,mAHeight
1,13,18734,84884,39.492
2,13,18432,75457,44.081
3,12,18161,66933,48.77
4,21,17818,96893,35.966
5,20,25067,87058,41.242
6,20,24662,78524,46.741
7,19,24298,71532,52.472
8,19,23956,65751,58.263
9,19,23594,60831,64.013
10,18,23234,56640,69.616
11,18,22906,52993,74.999
12,17,22542,49696,80.243
13,33,22105,46873,85.12
14,33,21680,44245,89.767
15,32,21237,42008,94.163
16,54,20664,82818,50.696
17,54,26488,75004,57.825
18,54,25873,68163,64.867
19,54,25263,61907,71.877
20,54,24643,56296,78.959
21,53,24021,51379,85.91
22,53,23436,47059,92.694
23,53,22859,43354,99.084
24,53,22305,40145,105.06
25,52,21741,37395,110.655
26,50,21176,35042,115.658
27,44,20645,32965,120.268
28,60,20039,78386,53.214
29,60,26106,69904,60.87
30,58,25441,62272,68.875
31,58,24834,55474,77.038
32,57,24237,49403,85.372
33,56,23663,44165,93.766
34,55,23081,39573,102.118
35,55,22509,35735,110.058
36,53,21920,32450,117.415
37,52,21352,29711,124.227
38,52,20825,27475,130.079
39,39,20304,25654,135.007
40,59,19673,62701,57.541
41,58,25658,54669,66.585
42,58,25017,47675,76.15
43,58,24412,41457,86.19
44,58,23772,36298,96.161
45,57,23179,31878,106.177
46,56,22548,28161,116.164
47,55,21922,25200,125.023
48,54,21375,22915,132.562
49,53,20800,21140,138.857
50,53,20232,19846,143.46
51,47,19681,18846,146.928
52,73,18991,47460,60.379
53,72,24601,40102,71.35
54,72,23872,33723,83.468
55,71,23168,28454,96.155
56,70,22463,24146,109.472
57,69,21803,20946,121.497
58,69,21141,18559,131.906
59,69,20503,16816,139.91
60,68,19859,15585,145.867
61,68,19199,14650,149.893
62,67,18541,13950,152.457
63,54,17922,13382,154.281
64,70,17239,33618,63.141
65,68,22272,27360,76.991
66,67,21630,22271,92.332
67,67,20983,18207,108.521
68,66,20350,15288,123.75
69,66,19712,13199,137.105
70,65,19076,11880,146.486
71,63,18472,11075,151.634
72,62,17840,10462,154.994
73,61,17256,10017,156.659
74,61,16696,9684,157.484
75,46,16154,9400,157.85
76,66,15544,23185,65.463
77,65,20098,17958,83.068
78,63,19485,13956,103.347
79,63,18909,11124,123.943
80,60,18305,9414,140.389
81,60,17722,8454,150.028
82,60,17174,7862,155.142
83,60,16594,7525,157.205
84,60,16021,7283,158.223
85,60,15477,7033,158.5
86,60,14912,6823,158.651
87,49,14396,6633,158.697
88,69,13785,15914,67.629
89,68,17769,11612,90.317
90,68,17142,8634,116.592
91,65,16552,6925,138.829
92,64,15960,6094,151.165
93,63,15375,5697,156.599
94,63,14805,5488,158.126
95,63,14250,5306,158.955
96,61,13676,5148,159.069
97,61,13117,4966,159.137
98,60,12570,4819,159.19
99,46,12039,4688,159.186
100,65,11458,10641,71.214
101,65,14638,7375,99.496
102,64,14058,5434,128.654
103,64,13515,4509,148.201
104,64,12947,4121,155.774
105,64,12380,3920,158.076
106,63,11839,3788,158.903
107,63,11331,3668,159.083
108,63,10805,3560,159.067
109,63,10331,3468,159.119
110,60,9829,3378,159.008
111,51,9348,3277,158.98
112,73,8776,7269,72.187
113,72,11146,4876,103.551
114,69,10572,3610,133.759
115,67,10018,3078,151.199
116,63,9484,2869,157.169
117,60,8969,2751,158.975
118,60,8496,2667,159.404
119,59,8051,2572,159.36
120,58,7602,2490,159.361
