month,wPop,ePop,mAHeight
1,16,18693,39.507
2,15,18409,44.091
3,15,18136,48.765
4,33,17772,35.926
5,32,24929,41.223
6,32,24461,46.796
7,32,23982,52.506
8,32,23530,58.299
9,32,23077,64.008
10,32,22653,69.523
11,32,22200,74.887
12,32,21770,79.997
13,55,21213,84.909
14,55,20662,89.555
15,53,20123,93.961
16,89,19378,50.639
17,86,24562,57.408
18,84,23719,64.132
19,83,22935,70.916
20,80,22203,77.674
21,80,21473,84.331
22,79,20749,90.816
23,76,20034,97.082
24,75,19308,103.048
25,75,18667,108.488
26,73,18010,113.484
27,60,17365,118.159
28,94,16594,52.566
29,93,21336,59.389
30,91,20521,66.351
31,89,19706,73.354
32,87,18910,80.431
33,83,18190,87.499
34,83,17463,94.437
35,83,16740,101.363
36,79,16006,107.909
37,78,15319,114.277
38,78,14666,120.276
39,60,14015,125.959
40,100,13224,55.324
41,99,16806,61.898
42,98,16002,68.539
43,96,15199,75.061
44,95,14452,81.668
45,95,13689,88.267
46,95,12916,94.798
47,95,12176,101.069
48,94,11431,107.191
49,94,10727,113.129
50,93,9986,118.684
51,75,9287,124.099
52,102,8538,55.072
53,101,10572,60.547
54,100,9826,66.132
55,98,9107,71.712
56,97,8354,77.183
57,95,7653,82.53
58,95,6960,87.676
59,94,6278,92.6
60,93,5576,97.468
61,91,4922,102.233
62,91,4251,106.751
63,67,3627,111.0
64,98,2910,52.729
65,98,3262,57.171
66,98,2597,61.585
67,98,1929,65.799
68,95,1236,69.985
69,94,596,74.008
70,93,1,77.987
71,93,1,81.792
72,93,1,85.693
73,92,1,89.633
74,91,1,93.524
75,70,1,97.327
76,98,1,50.261
77,96,1,54.472
78,95,1,58.675
79,92,1,62.846
80,91,1,67.051
81,90,1,71.259
82,89,1,75.452
83,86,1,79.622
84,80,1,83.818
85,80,1,87.993
86,80,1,92.171
87,55,1,96.357
88,90,1,50.241
89,88,2,54.564
90,88,2,58.877
91,88,2,63.192
92,86,2,67.503
93,85,2,71.842
94,84,2,76.146
95,83,2,80.475
96,83,2,84.798
97,82,2,89.142
98,80,2,93.499
99,67,2,97.856
100,98,2,50.575
101,97,3,54.929
102,96,3,59.364
103,95,3,63.762
104,95,3,68.178
105,95,3,72.557
106,95,3,76.967
107,95,3,81.36
108,92,3,85.761
109,89,3,90.158
110,89,3,94.533
111,73,3,98.943
112,108,3,50.772
113,107,3,55.219
114,105,3,59.652
115,105,3,64.071
116,105,3,68.504
117,104,3,72.93
118,104,3,77.359
119,103,3,81.762
120,101,3,86.197
