month,wPop,ePop,mAHeight
1,4,18776,39.562
2,4,18576,44.149
3,4,18381,48.83
4,7,18150,35.839
5,6,25526,41.124
6,6,25212,46.69
7,6,24942,52.456
8,6,24659,58.257
9,6,24364,64.018
10,6,24109,69.585
11,6,23841,74.953
12,6,23583,80.097
13,12,23281,85.109
14,11,22991,89.766
15,11,22679,94.123
16,23,22269,51.033
17,23,28698,58.29
18,22,28273,65.72
19,20,27874,73.122
20,20,27474,80.509
21,19,27045,87.771
22,19,26653,94.82
23,19,26294,101.421
24,19,25896,107.308
25,19,25526,112.675
26,18,25169,117.395
27,17,24792,121.335
28,26,24350,53.823
29,25,32159,62.566
30,25,31694,71.908
31,25,31205,81.883
32,25,30748,91.812
33,25,30320,101.563
34,24,29847,110.642
35,24,29357,118.859
36,24,28891,125.708
37,24,28442,131.292
38,22,28024,135.337
39,15,27568,138.451
40,26,27145,59.436
41,26,35455,71.786
42,26,34943,85.573
43,26,34449,100.514
44,26,33926,114.713
45,26,33439,126.674
46,26,32960,135.531
47,26,32477,140.797
48,25,31991,143.866
49,25,31531,145.572
50,25,31074,146.541
51,17,30641,147.14
52,28,30207,64.858
53,28,39618,85.053
54,28,38985,107.752
55,28,38395,128.001
56,28,37833,140.273
57,28,37252,145.72
58,28,36716,147.847
59,28,36162,148.611
60,27,35651,148.789
61,26,35144,148.928
62,26,34589,149.042
63,18,34061,149.107
64,29,33517,71.578
65,28,44085,105.841
66,28,43463,135.23
67,28,42881,146.015
68,27,42251,148.76
69,27,41741,149.256
70,27,41138,149.325
71,27,40508,149.379
72,27,39926,149.43
73,27,39340,149.468
74,25,38758,149.422
75,17,38186,149.426
76,31,37570,85.05
77,31,49451,134.496
78,31,48797,148.067
79,31,48133,149.313
80,30,47460,149.318
81,30,46793,149.327
82,30,46152,149.306
83,30,45476,149.306
84,30,44843,149.251
85,30,44184,149.307
86,30,43583,149.392
87,24,42994,149.362
88,34,42309,109.538
89,31,55489,148.307
90,31,54718,149.483
91,30,53975,149.535
92,30,53238,149.464
93,29,52533,149.392
94,29,51807,149.349
95,29,51084,149.487
96,29,50393,149.574
97,29,49732,149.664
98,28,49025,149.703
99,17,48376,149.804
100,26,47705,139.55
101,26,62750,149.819
102,26,61944,149.765
103,26,61157,149.738
104,25,60385,149.79
105,24,59599,149.773
106,24,58821,149.774
107,24,58051,149.751
108,24,57316,149.963
109,21,56588,150.087
110,21,55880,150.076
111,15,55181,149.987
112,23,54484,149.809
113,23,71759,150.097
114,23,70855,149.949
115,23,70032,150.004
116,22,69155,149.857
117,22,68352,149.908
118,22,67549,150.084
119,22,66726,149.919
120,22,65929,150.042
