month,wPop,ePop,aPop,mAHeight
1,14,18723,84793,39.517
2,13,18449,75479,44.111
3,13,18183,66809,48.792
4,27,17821,97060,35.918
5,27,24820,87058,41.196
6,26,24354,78724,46.716
7,26,23913,72009,52.443
8,26,23510,66331,58.167
9,26,23088,61521,63.839
10,26,22675,57297,69.464
11,26,22298,53708,74.863
12,26,21893,50505,79.998
13,43,21418,47562,84.929
14,40,20929,44980,89.598
15,38,20486,42690,94.011
16,62,19873,84119,50.716
17,60,25370,76637,57.519
18,60,24738,69849,64.416
19,59,24101,63678,71.358
20,58,23503,58145,78.204
21,57,22913,53221,84.962
22,57,22321,48866,91.576
23,55,21734,45048,97.992
24,54,21153,41772,103.914
25,53,20576,38842,109.477
26,51,19994,36280,114.743
27,43,19485,34093,119.414
28,66,18836,80966,52.997
29,65,24417,72969,60.273
30,64,23765,65567,67.831
31,62,23071,58835,75.472
32,62,22418,52905,83.165
33,61,21820,47473,91.001
34,61,21200,42760,98.838
35,61,20607,38803,106.404
36,61,19994,35400,113.612
37,58,19407,32432,120.384
38,58,18804,29980,126.457
39,43,18240,27849,131.973
40,62,17664,67292,57.037
41,61,22949,59930,64.974
42,61,22339,53129,73.363
43,61,21750,47206,81.951
44,60,21112,41941,90.88
45,59,20490,37304,99.744
46,58,19903,33365,108.474
47,56,19327,30002,116.969
48,56,18736,27200,124.732
49,56,18174,24845,131.783
50,56,17622,23100,137.516
51,40,17059,21575,142.445
52,60,16489,53882,59.193
53,56,21315,47114,68.345
54,55,20713,41055,78.028
55,55,20181,35804,88.13
56,53,19636,31342,98.457
57,51,19063,27465,108.914
58,50,18542,24240,118.97
59,50,18019,21731,127.896
60,49,17527,19703,136.06
61,48,17045,18157,142.647
62,48,16600,16949,147.551
63,38,16124,16003,151.487
64,57,15586,41122,60.889
65,57,20192,35060,71.541
66,55,19596,29790,82.954
67,55,19044,25134,95.678
68,53,18513,21463,108.299
69,53,17975,18554,120.834
70,53,17447,16351,131.817
71,52,16962,14718,140.838
72,51,16449,13454,148.06
73,51,15960,12581,153.064
74,50,15477,11925,156.403
75,40,14999,11403,158.516
76,60,14437,29351,63.552
77,59,18683,23861,77.392
78,58,18111,19460,92.574
79,56,17573,15895,109.134
80,56,17043,13241,125.644
81,55,16501,11504,138.556
82,53,15974,10283,148.686
83,52,15479,9503,154.823
84,51,14982,9001,158.56
85,50,14486,8575,160.554
86,49,14011,8254,161.493
87,38,13584,7973,162.071
88,64,13036,20131,65.72
89,63,16766,15694,82.982
90,62,16191,12200,103.222
91,61,15656,9644,124.29
92,58,15114,8090,141.803
93,57,14588,7208,152.978
94,56,14065,6728,158.556
95,55,13545,6406,161.455
96,55,13040,6180,162.663
97,55,12558,5970,163.15
98,55,12077,5777,163.283
99,45,11591,5618,163.249
100,62,11071,13966,67.321
101,61,14277,10285,89.304
102,60,13753,7622,115.561
103,60,13261,6093,138.177
104,58,12775,5286,152.645
105,58,12282,4874,159.325
106,58,11792,4637,162.093
107,55,11293,4476,163.065
108,53,10820,4337,163.286
109,52,10377,4214,163.411
110,52,9978,4097,163.601
111,37,9535,3966,163.512
112,56,9043,9358,70.5
113,55,11605,6671,95.678
114,54,11137,4866,125.553
115,54,10692,3904,148.891
116,53,10242,3541,158.316
117,52,9774,3342,162.097
118,51,9333,3194,163.289
119,50,8894,3105,163.504
120,50,8503,3009,163.735
