month,wPop,ePop,mAHeight
1,14,18719,39.514
2,14,18442,44.097
3,14,18166,48.797
4,24,17844,36.035
5,23,25057,41.336
6,21,24646,46.887
7,21,24250,52.609
8,21,23862,58.393
9,20,23495,64.057
10,19,23104,69.618
11,19,22752,74.95
12,19,22416,80.088
13,35,21987,85.03
14,33,21530,89.742
15,30,21089,94.141
16,50,20579,50.859
17,50,26381,57.898
18,49,25781,65.029
19,47,25189,72.21
20,44,24604,79.318
21,43,24052,86.305
22,43,23533,93.023
23,42,23003,99.39
24,42,22485,105.321
25,42,22008,110.863
26,42,21522,115.879
27,38,21020,120.265
28,56,20457,53.219
29,53,26741,60.87
30,53,26099,68.905
31,50,25489,77.156
32,49,24914,85.623
33,49,24336,94.162
34,49,23769,102.577
35,47,23223,110.426
36,47,22701,117.976
37,47,22150,124.521
38,46,21623,130.454
39,37,21098,135.267
40,59,20464,57.808
41,59,26563,67.079
42,59,25919,76.979
43,59,25283,87.412
44,58,24665,97.748
45,55,24041,108.172
46,53,23447,118.148
47,51,22870,126.797
48,51,22328,134.024
49,50,21760,139.792
50,50,21156,144.311
51,43,20637,147.438
52,60,20021,60.736
53,58,26061,72.242
54,57,25453,84.858
55,57,24810,98.221
56,57,24212,112.145
57,54,23620,124.568
58,52,23026,135.261
59,52,22425,143.041
60,51,21882,148.28
61,50,21332,151.572
62,49,20798,153.641
63,33,20271,154.856
64,55,19729,63.639
65,53,25613,79.219
66,50,25023,96.534
67,50,24485,115.27
68,50,23931,131.938
69,50,23402,143.969
70,49,22863,151.101
71,47,22341,154.507
72,47,21806,156.15
73,47,21283,156.868
74,47,20744,157.213
75,39,20195,157.413
76,63,19604,67.921
77,63,25560,91.333
78,61,24911,117.259
79,61,24286,140.16
80,61,23616,151.94
81,58,22956,155.975
82,56,22384,157.237
83,53,21817,157.797
84,52,21280,157.901
85,51,20784,158.013
86,51,20244,158.088
87,40,19728,158.062
88,63,19110,73.248
89,61,24788,107.615
90,61,24132,139.908
91,60,23531,153.708
92,60,22875,157.185
93,60,22206,157.971
94,57,21599,157.982
95,56,21018,158.092
96,53,20429,158.294
97,53,19877,158.216
98,52,19308,158.308
99,39,18789,158.323
100,62,18218,81.362
101,62,23704,129.895
102,60,23067,153.932
103,58,22453,157.823
104,57,21893,158.123
105,56,21296,158.0
106,55,20750,157.989
107,55,20189,157.938
108,55,19629,157.851
109,55,19077,158.007
110,55,18542,157.973
111,44,18011,157.955
112,67,17386,94.349
113,64,22608,148.802
114,63,22012,157.478
115,60,21392,157.846
116,58,20782,157.917
117,58,20220,157.981
118,57,19642,157.992
119,57,19062,157.959
120,57,18490,158.189
