month,wPop,ePop,mAHeight
1,5,18773,39.507
2,4,18564,44.064
3,4,18343,48.751
4,8,18109,36.014
5,8,25570,41.322
6,8,25235,46.942
7,7,24925,52.751
8,7,24631,58.594
9,7,24341,64.351
10,7,24062,69.917
11,7,23783,75.341
12,6,23502,80.47
13,12,23181,85.383
14,11,22852,90.01
15,11,22535,94.314
16,22,22200,51.129
17,22,28545,58.444
18,22,28144,65.801
19,22,27727,73.17
20,22,27324,80.595
21,22,26900,87.771
22,21,26506,94.74
23,19,26119,101.208
24,19,25744,107.121
25,19,25381,112.586
26,18,25034,117.347
27,14,24650,121.424
28,23,24279,53.866
29,23,32121,62.619
30,23,31637,72.107
31,23,31192,81.882
32,23,30729,91.967
33,23,30272,101.764
34,23,29816,110.924
35,23,29384,119.276
36,23,28946,126.222
37,22,28513,131.536
38,22,28091,135.799
39,16,27688,138.689
40,26,27262,59.539
41,25,35702,72.111
42,25,35159,85.98
43,25,34643,100.869
44,25,34108,114.847
45,25,33631,127.119
46,25,33152,135.647
47,25,32664,141.033
48,25,32167,144.2
49,24,31679,145.986
50,24,31218,147.001
51,19,30757,147.677
52,29,30251,64.393
53,29,39564,83.835
54,28,39009,106.36
55,28,38461,127.058
56,28,37889,139.96
57,28,37366,145.84
58,28,36780,148.255
59,27,36257,149.2
60,27,35701,149.502
61,27,35118,149.647
62,26,34581,149.708
63,19,34079,149.692
64,33,33548,71.766
65,33,43902,105.478
66,32,43245,134.776
67,31,42606,146.84
68,31,41958,149.283
69,31,41316,149.633
70,30,40704,149.859
71,30,40116,149.789
72,29,39518,149.744
73,29,38938,149.757
74,29,38370,149.838
75,24,37823,149.913
76,37,37222,84.625
77,37,49035,134.535
78,37,48315,148.569
79,37,47624,149.759
80,35,46978,149.806
81,34,46298,149.796
82,34,45639,149.698
83,33,45000,149.767
84,33,44334,149.702
85,31,43680,149.661
86,30,43043,149.672
87,23,42407,149.612
88,35,41730,108.98
89,35,54818,148.763
90,34,54025,149.676
91,32,53271,149.671
92,32,52538,149.831
93,31,51769,149.894
94,30,51057,149.796
95,30,50345,149.864
96,29,49644,149.842
97,27,49039,149.894
98,26,48388,149.793
99,17,47715,149.662
100,25,47080,137.831
101,25,61804,149.685
102,25,61058,149.786
103,25,60278,149.787
104,23,59550,149.781
105,23,58814,149.756
106,23,58068,149.725
107,23,57338,149.705
108,22,56615,149.59
109,22,55933,149.544
110,22,55222,149.428
111,19,54530,149.444
112,31,53733,148.576
113,29,70608,149.427
114,28,69782,149.294
115,27,68906,149.313
116,27,67991,149.3
117,26,67136,149.438
118,24,66339,149.331
119,23,65524,149.296
120,22,64739,149.043
