month,wPop,ePop,mAHeight
1,18,18690,39.477
2,17,18384,44.046
3,16,18105,48.743
4,29,17739,35.956
5,27,24791,41.225
6,26,24390,46.828
7,25,23982,52.545
8,24,23583,58.31
9,24,23203,64.001
10,24,22815,69.489
11,23,22443,74.82
12,23,22056,79.979
13,46,21537,84.881
14,46,21031,89.553
15,46,20537,93.949
16,77,19803,50.658
17,77,25169,57.514
18,76,24404,64.434
19,75,23663,71.327
20,73,22920,78.181
21,71,22203,84.799
22,70,21502,91.342
23,69,20814,97.597
24,69,20137,103.517
25,67,19499,109.079
26,65,18871,114.176
27,58,18269,118.979
28,91,17510,52.943
29,88,22628,60.01
30,88,21834,67.241
31,86,21070,74.503
32,84,20310,81.884
33,83,19562,89.255
34,81,18839,96.538
35,81,18133,103.586
36,80,17391,110.362
37,80,16671,116.832
38,80,15982,122.856
39,63,15288,128.327
40,96,14488,55.841
41,93,18474,62.824
42,92,17701,69.91
43,90,16924,77.04
44,90,16157,84.016
45,89,15387,91.216
46,88,14683,98.228
47,87,13975,105.166
48,86,13244,111.788
49,86,12532,118.13
50,85,11843,124.097
51,66,11191,129.486
52,99,10423,56.044
53,99,13104,62.334
54,98,12349,68.589
55,97,11576,74.65
56,97,10805,80.848
57,96,10025,86.831
58,96,9326,92.641
59,95,8571,98.393
60,95,7856,104.017
61,93,7126,109.189
62,93,6466,114.253
63,69,5820,119.114
64,96,5115,54.224
65,94,6139,59.148
66,93,5442,63.867
67,92,4801,68.572
68,92,4169,72.997
69,90,3526,77.402
70,88,2888,81.703
71,86,2294,85.886
72,84,1680,89.975
73,83,1070,93.964
74,82,511,97.752
75,64,1,101.512
76,96,1,51.021
77,94,0,55.068
78,94,0,59.119
79,94,0,63.166
80,93,0,67.197
81,92,0,71.231
82,91,0,75.346
83,90,0,79.403
84,90,0,83.505
85,87,0,87.528
86,86,0,91.61
87,70,0,95.712
88,104,0,50.131
89,100,0,54.421
90,98,0,58.705
91,97,0,62.967
92,97,0,67.202
93,96,0,71.447
94,94,0,75.669
95,93,0,79.953
96,90,0,84.221
97,90,0,88.472
98,86,0,92.697
99,65,0,96.979
100,100,0,50.396
101,100,0,54.756
102,100,0,59.112
103,99,0,63.46
104,94,0,67.795
105,94,0,72.186
106,93,0,76.537
107,90,0,80.919
108,89,0,85.281
109,88,0,89.68
110,87,0,94.061
111,66,0,98.42
112,104,0,50.698
113,99,0,55.144
114,96,0,59.549
115,93,0,63.983
116,92,0,68.377
117,92,0,72.762
118,92,0,77.21
119,92,0,81.637
120,92,0,86.074
