month,wPop,ePop,mAHeight
1,18,18676,39.514
2,18,18375,44.094
3,18,18092,48.771
4,33,17704,35.954
5,33,24809,41.269
6,33,24299,46.786
7,33,23838,52.444
8,33,23373,58.176
9,31,22910,63.843
10,31,22472,69.352
11,31,22023,74.721
12,31,21609,79.846
13,52,21037,84.713
14,52,20478,89.38
15,52,19941,93.751
16,87,19150,50.524
17,84,24244,57.3
18,84,23472,63.992
19,82,22692,70.714
20,82,21913,77.421
21,82,21170,83.971
22,81,20398,90.383
23,78,19696,96.655
24,75,18978,102.478
25,75,18298,108.0
26,75,17610,113.145
27,64,16962,117.855
28,104,16088,52.485
29,103,20649,59.111
30,103,19799,65.882
31,102,18910,72.728
32,100,18026,79.451
33,98,17221,86.245
34,96,16423,92.972
35,94,15584,99.43
36,93,14810,105.82
37,93,14071,111.963
38,91,13336,117.783
39,73,12613,123.36
40,105,11787,54.812
41,104,14861,61.036
42,103,14037,67.03
43,102,13256,73.069
44,95,12420,79.097
45,94,11693,84.967
46,94,10980,90.775
47,94,10226,96.463
48,93,9557,101.944
49,92,8845,107.45
50,91,8160,112.628
51,70,7510,117.709
52,105,6752,54.161
53,105,8162,59.307
54,104,7394,64.267
55,103,6638,69.156
56,101,5895,73.886
57,100,5174,78.627
58,98,4477,83.231
59,96,3763,87.681
60,94,3130,91.966
61,93,2463,96.154
62,92,1838,100.186
63,74,1186,104.187
64,106,482,51.362
65,106,0,55.428
66,106,0,59.509
67,105,0,63.535
68,104,0,67.616
69,101,0,71.736
70,100,0,75.797
71,100,0,79.837
72,97,0,83.857
73,96,0,87.834
74,94,0,91.911
75,74,0,95.959
76,103,0,50.199
77,101,0,54.485
78,101,0,58.752
79,99,0,63.038
80,99,0,67.328
81,99,0,71.61
82,95,0,75.901
83,94,0,80.177
84,92,0,84.447
85,92,0,88.727
86,92,0,92.999
87,71,0,97.311
88,106,0,50.407
89,104,0,54.776
90,101,0,59.148
91,100,0,63.546
92,100,0,67.89
93,97,0,72.277
94,97,0,76.646
95,97,0,81.063
96,97,0,85.449
97,95,0,89.836
98,92,0,94.204
99,72,0,98.539
100,101,0,50.753
101,100,0,55.175
102,98,0,59.571
103,98,0,64.01
104,96,0,68.425
105,94,0,72.851
106,92,0,77.268
107,92,0,81.67
108,91,0,86.075
109,89,0,90.504
110,88,0,94.929
111,68,0,99.334
112,105,0,50.864
113,102,0,55.306
114,101,0,59.738
115,100,0,64.175
116,100,0,68.629
117,100,0,73.093
118,99,0,77.562
119,99,0,81.992
120,98,0,86.44
