month,wPop,ePop,mAHeight
1,23,18682,39.518
2,23,18352,44.095
3,21,18029,48.792
4,38,17613,36.021
5,38,24720,41.26
6,38,24239,46.799
7,38,23767,52.499
8,37,23274,58.184
9,35,22786,63.816
10,35,22332,69.367
11,35,21917,74.753
12,34,21471,79.851
13,62,20813,84.759
14,62,20224,89.429
15,61,19589,93.866
16,104,18684,50.745
17,104,23472,57.417
18,102,22595,64.094
19,101,21697,70.786
20,100,20777,77.44
21,95,19912,83.876
22,94,19158,90.143
23,93,18314,96.224
24,93,17485,101.912
25,91,16740,107.408
26,89,16010,112.629
27,78,15288,117.322
28,111,14401,52.244
29,110,18413,58.737
30,109,17506,65.092
31,109,16616,71.508
32,105,15736,77.841
33,102,14907,84.206
34,100,14051,90.525
35,99,13269,96.765
36,96,12503,102.792
37,96,11765,108.543
38,94,11008,114.143
39,71,10321,119.469
40,109,9475,54.178
41,109,11814,59.739
42,108,10992,65.284
43,108,10168,70.72
44,107,9357,76.004
45,106,8531,81.171
46,104,7790,86.269
47,104,7029,91.29
48,104,6277,96.177
49,98,5522,100.899
50,97,4852,105.437
51,74,4208,109.785
52,118,3396,52.351
53,116,3716,56.871
54,112,2922,61.221
55,112,2168,65.521
56,109,1422,69.642
57,109,683,73.734
58,105,6,77.734
59,104,2,81.677
60,100,2,85.606
61,100,2,89.498
62,98,2,93.331
63,78,2,97.28
64,113,2,50.331
65,110,3,54.546
66,109,3,58.733
67,108,3,62.94
68,106,3,67.11
69,102,3,71.332
70,100,3,75.547
71,98,3,79.71
72,92,3,83.914
73,91,3,88.091
74,90,3,92.336
75,69,2,96.547
76,105,2,50.216
77,104,3,54.557
78,103,3,58.873
79,103,3,63.236
80,102,3,67.58
81,101,3,71.874
82,100,3,76.229
83,100,3,80.539
84,99,3,84.876
85,99,3,89.235
86,97,3,93.602
87,73,3,97.946
88,114,3,50.593
89,114,0,55.003
90,113,0,59.394
91,111,0,63.772
92,109,0,68.165
93,108,0,72.573
94,106,0,76.987
95,103,0,81.381
96,99,0,85.762
97,97,0,90.167
98,97,0,94.583
99,78,0,98.967
100,116,0,50.789
101,116,0,55.254
102,115,0,59.716
103,115,0,64.18
104,112,0,68.595
105,109,0,73.012
106,109,0,77.446
107,108,0,81.877
108,106,0,86.293
109,104,0,90.713
110,104,0,95.15
111,85,0,99.574
112,127,0,50.947
113,126,0,55.394
114,123,0,59.821
115,123,0,64.26
116,123,0,68.713
117,122,0,73.156
118,119,0,77.593
119,119,0,82.049
120,118,0,86.482
