month,wPop,ePop,mAHeight
1,5,18780,39.458
2,5,18540,44.022
3,5,18331,48.716
4,11,18079,35.885
5,11,25504,41.15
6,10,25188,46.698
7,9,24879,52.487
8,9,24513,58.362
9,9,24226,64.128
10,9,23897,69.73
11,9,23603,75.194
12,9,23350,80.31
13,15,23038,85.213
14,14,22705,89.917
15,14,22388,94.201
16,23,22009,50.922
17,23,28349,58.17
18,22,27933,65.467
19,21,27514,72.882
20,21,27109,80.255
21,20,26707,87.598
22,19,26295,94.536
23,19,25921,101.092
24,19,25549,107.079
25,19,25167,112.471
26,19,24770,117.326
27,17,24386,121.374
28,26,23955,53.959
29,26,31603,62.726
30,26,31133,71.88
31,26,30660,81.462
32,26,30189,91.346
33,25,29755,101.056
34,25,29274,110.35
35,25,28820,118.832
36,24,28400,125.677
37,24,27951,131.166
38,23,27538,135.392
39,17,27095,138.468
40,26,26659,59.275
41,26,35101,71.614
42,26,34603,85.123
43,25,34075,99.768
44,24,33592,113.954
45,24,33136,126.235
46,23,32697,134.918
47,23,32253,140.466
48,23,31786,143.959
49,23,31327,145.708
50,23,30850,146.872
51,17,30408,147.572
52,26,29901,64.383
53,26,39437,84.178
54,26,38877,106.645
55,26,38303,127.037
56,26,37742,139.942
57,26,37217,146.142
58,26,36696,148.21
59,26,36163,148.987
60,25,35632,149.272
61,25,35106,149.362
62,24,34586,149.405
63,18,34118,149.445
64,30,33559,72.322
65,30,43959,106.777
66,30,43324,135.854
67,30,42684,146.978
68,29,42064,149.29
69,28,41456,149.608
70,28,40901,149.611
71,27,40284,149.603
72,27,39701,149.657
73,27,39135,149.664
74,25,38570,149.758
75,22,38083,149.753
76,33,37498,84.92
77,33,49291,136.286
78,32,48519,148.638
79,31,47835,149.599
80,30,47202,149.765
81,29,46534,149.895
82,28,45873,149.928
83,28,45228,149.928
84,28,44595,149.904
85,28,43972,149.93
86,28,43372,149.941
87,22,42742,149.897
88,32,42131,110.196
89,32,55485,148.808
90,32,54717,149.873
91,29,53959,149.954
92,29,53234,149.86
93,28,52508,149.924
94,28,51821,149.842
95,28,51083,149.79
96,28,50403,149.754
97,27,49737,149.768
98,27,49087,149.86
99,20,48364,149.855
100,33,47694,139.899
101,33,62676,149.958
102,32,61833,150.123
103,32,61041,150.239
104,32,60284,150.189
105,32,59479,150.303
106,32,58672,150.313
107,31,57881,150.347
108,31,57049,150.273
109,30,56288,150.228
110,30,55483,150.195
111,25,54758,150.062
112,38,53968,149.273
113,38,70910,149.921
114,38,69991,149.819
115,38,69018,149.864
116,38,68088,149.948
117,38,67149,149.968
118,38,66202,150.037
119,37,65343,150.105
120,37,64500,150.18
