month,wPop,ePop,mAHeight
1,23,18639,39.542
2,22,18296,44.122
3,20,17961,48.78
4,37,17579,35.868
5,37,24598,41.169
6,36,24112,46.693
7,36,23633,52.434
8,34,23136,58.163
9,33,22669,63.845
10,32,22229,69.367
11,31,21823,74.66
12,30,21403,79.793
13,58,20828,84.763
14,53,20242,89.435
15,50,19677,93.814
16,84,18958,50.738
17,79,24044,57.46
18,75,23288,64.23
19,74,22502,70.988
20,73,21790,77.671
21,71,21091,84.205
22,71,20429,90.721
23,70,19789,96.775
24,69,19166,102.624
25,67,18540,108.286
26,65,17938,113.41
27,55,17346,118.054
28,96,16524,52.542
29,95,21286,59.4
30,90,20436,66.181
31,89,19650,73.139
32,88,18873,80.121
33,84,18138,87.166
34,80,17396,94.027
35,80,16716,100.846
36,79,16050,107.514
37,79,15369,113.913
38,77,14700,119.827
39,62,14030,125.516
40,98,13227,55.395
41,96,16789,61.914
42,96,15989,68.488
43,94,15216,75.064
44,92,14442,81.649
45,91,13642,88.154
46,91,12895,94.489
47,89,12197,100.72
48,89,11488,106.848
49,89,10781,112.802
50,89,10119,118.426
51,62,9430,123.814
52,99,8719,54.987
53,98,10963,60.584
54,97,10218,66.105
55,97,9501,71.558
56,96,8759,76.927
57,94,8052,82.218
58,93,7338,87.509
59,93,6670,92.55
60,92,5965,97.4
61,90,5300,102.112
62,89,4679,106.639
63,69,4054,111.129
64,107,3329,52.587
65,105,3695,57.129
66,102,2981,61.541
67,100,2269,65.856
68,100,1598,70.053
69,99,944,74.151
70,99,296,78.248
71,97,1,82.124
72,97,1,86.078
73,97,1,89.933
74,93,1,93.772
75,78,1,97.672
76,118,1,50.441
77,116,1,54.61
78,114,1,58.774
79,113,1,62.957
80,113,1,67.139
81,112,1,71.334
82,110,1,75.498
83,109,1,79.663
84,108,1,83.824
85,108,1,88.081
86,106,1,92.313
87,82,1,96.481
88,121,1,50.252
89,119,1,54.573
90,116,1,58.886
91,115,1,63.191
92,114,1,67.509
93,112,1,71.85
94,111,1,76.191
95,109,1,80.54
96,109,1,84.872
97,107,1,89.229
98,104,1,93.579
99,80,1,97.88
100,116,1,50.581
101,115,1,54.983
102,115,1,59.397
103,111,1,63.789
104,108,1,68.186
105,106,1,72.586
106,106,1,77.017
107,105,1,81.423
108,104,1,85.822
109,102,1,90.242
110,100,1,94.635
111,72,0,99.034
112,110,0,50.853
113,110,0,55.253
114,109,0,59.666
115,109,0,64.117
116,108,0,68.57
117,107,0,73.004
118,107,0,77.438
119,106,0,81.854
120,106,0,86.294
