month,wPop,ePop,mAHeight
1,10,18738,39.466
2,10,18478,44.029
3,9,18246,48.715
4,14,17978,35.93
5,14,25255,41.238
6,14,24920,46.799
7,14,24571,52.587
8,14,24237,58.445
9,14,23911,64.176
10,14,23610,69.703
11,12,23276,75.071
12,12,22971,80.189
13,22,22579,85.121
14,22,22222,89.78
15,22,21844,94.109
16,36,21416,51.009
17,34,27482,58.066
18,33,27012,65.304
19,33,26539,72.543
20,31,26032,79.684
21,31,25576,86.701
22,31,25102,93.594
23,30,24656,99.997
24,30,24214,106.004
25,30,23771,111.491
26,30,23375,116.41
27,25,22963,120.792
28,41,22461,53.671
29,40,29478,61.888
30,40,28925,70.568
31,39,28383,79.607
32,39,27820,88.918
33,38,27296,98.109
34,38,26791,107.004
35,38,26235,115.253
36,38,25752,122.55
37,36,25261,128.667
38,36,24825,133.608
39,28,24372,137.487
40,45,23799,58.835
41,44,31142,69.752
42,44,30523,81.442
43,42,29969,94.109
44,41,29395,106.958
45,41,28849,118.964
46,41,28271,128.691
47,39,27733,136.24
48,39,27222,141.47
49,38,26681,144.924
50,38,26152,147.16
51,28,25643,148.542
52,44,25141,62.703
53,42,32918,78.333
54,42,32305,96.376
55,42,31695,114.945
56,42,31135,130.795
57,42,30564,141.552
58,41,30005,147.147
59,41,29478,149.834
60,40,28902,151.022
61,40,28362,151.611
62,37,27833,151.982
63,25,27315,152.116
64,42,26783,68.078
65,42,35022,93.705
66,41,34385,122.073
67,41,33749,140.779
68,41,33157,148.916
69,41,32590,151.544
70,41,31994,152.229
71,40,31395,152.484
72,40,30833,152.497
73,40,30249,152.659
74,39,29681,152.647
75,31,29144,152.694
76,43,28594,76.487
77,41,37401,117.935
78,39,36747,145.017
79,38,36135,151.389
80,38,35518,152.513
81,38,34941,152.677
82,37,34320,152.668
83,37,33780,152.525
84,36,33241,152.553
85,36,32660,152.409
86,36,32091,152.286
87,28,31523,152.448
88,43,30925,91.824
89,43,40580,143.56
90,41,39870,152.064
91,41,39171,152.475
92,41,38525,152.43
93,41,37848,152.581
94,41,37224,152.461
95,40,36646,152.556
96,39,36039,152.433
97,37,35418,152.32
98,37,34821,152.273
99,31,34252,152.357
100,49,33562,119.053
101,49,43892,151.719
102,47,43099,152.307
103,46,42366,152.303
104,45,41632,152.161
105,45,40944,152.268
106,45,40254,152.261
107,44,39565,152.146
108,42,38875,152.116
109,42,38217,152.269
110,42,37565,152.19
111,34,36917,152.126
112,50,36237,145.59
113,50,47630,152.299
114,50,46838,152.202
115,50,46022,152.245
116,50,45217,152.329
117,49,44405,152.315
118,48,43636,152.347
119,47,42921,152.279
120,47,42189,152.258
