month,wPop,ePop,mAHeight
1,10,18756,39.559
2,10,18509,44.135
3,10,18256,48.813
4,17,17963,36.051
5,17,25276,41.314
6,17,24915,46.871
7,17,24555,52.592
8,17,24158,58.364
9,16,23799,64.07
10,16,23468,69.629
11,15,23105,75.017
12,15,22741,80.185
13,26,22349,85.088
14,23,21934,89.734
15,23,21591,94.11
16,38,21117,50.779
17,37,27214,57.795
18,37,26688,64.996
19,37,26149,72.176
20,36,25637,79.393
21,34,25164,86.492
22,34,24697,93.48
23,34,24256,100.018
24,34,23782,106.151
25,33,23333,111.646
26,31,22879,116.583
27,28,22428,121.005
28,42,21927,53.575
29,42,28723,61.773
30,42,28135,70.555
31,42,27594,79.326
32,42,27061,88.53
33,41,26498,97.568
34,40,25951,106.503
35,38,25434,114.67
36,38,24927,121.956
37,37,24410,128.303
38,36,23926,133.582
39,30,23471,137.602
40,48,22919,58.662
41,45,29932,68.933
42,43,29334,80.144
43,43,28789,92.009
44,43,28210,104.274
45,43,27681,116.085
46,43,27127,126.47
47,42,26574,134.87
48,42,26030,140.743
49,42,25479,144.613
50,42,24972,147.265
51,36,24453,149.011
52,54,23859,62.216
53,53,31189,76.664
54,53,30533,93.381
55,53,29874,111.108
56,51,29253,126.982
57,51,28645,138.884
58,50,28010,146.096
59,50,27401,149.949
60,50,26812,151.744
61,50,26218,152.721
62,50,25637,153.232
63,37,25072,153.55
64,57,24452,66.608
65,56,31870,88.098
66,56,31176,112.698
67,56,30494,134.027
68,56,29843,146.349
69,53,29164,151.745
70,53,28514,153.525
71,53,27865,154.033
72,53,27219,154.191
73,51,26570,154.263
74,50,25958,154.374
75,43,25359,154.38
76,57,24738,72.742
77,56,32361,106.908
78,55,31712,137.656
79,55,31033,150.307
80,55,30385,153.829
81,55,29768,154.637
82,55,29114,154.679
83,53,28459,154.799
84,53,27802,154.843
85,51,27194,154.855
86,49,26611,154.889
87,37,26027,154.92
88,55,25405,83.195
89,54,33129,131.946
90,52,32475,152.271
91,52,31824,154.786
92,52,31170,154.958
93,51,30535,154.987
94,50,29932,154.871
95,49,29281,154.925
96,49,28672,154.786
97,49,28079,154.934
98,45,27489,154.971
99,40,26922,155.022
100,59,26268,101.193
101,58,34351,150.965
102,58,33653,155.209
103,58,32949,155.36
104,58,32269,155.33
105,57,31596,155.397
106,57,30918,155.396
107,57,30194,155.384
108,57,29501,155.344
109,55,28877,155.303
110,54,28227,155.139
111,40,27598,154.916
112,57,26993,125.464
113,55,35224,154.843
114,55,34544,154.874
115,55,33839,154.763
116,55,33183,154.576
117,54,32511,154.554
118,53,31798,154.443
119,49,31149,154.441
120,49,30520,154.258
