month,wPop,ePop,aPop,mAHeight
1,5,18777,84882,39.504
2,5,18553,75326,44.056
3,5,18331,66789,48.75
4,10,18063,96487,36.053
5,10,25429,86367,41.324
6,10,25126,77895,46.902
7,10,24811,70906,52.687
8,9,24512,65097,58.507
9,9,24201,60289,64.241
10,9,23885,56011,69.874
11,8,23572,52371,75.288
12,7,23302,49087,80.52
13,13,22975,46278,85.421
14,13,22678,43722,90.059
15,12,22355,41542,94.341
16,25,21986,81212,51.151
17,25,28351,73262,58.469
18,25,27908,66126,65.911
19,24,27495,59778,73.36
20,24,27074,54010,80.808
21,24,26652,49069,87.952
22,24,26262,44745,94.949
23,24,25871,41012,101.634
24,24,25443,37995,107.586
25,24,25013,35372,113.04
26,24,24611,33216,117.735
27,22,24229,31367,121.794
28,35,23735,74437,53.954
29,34,31183,65173,62.621
30,31,30620,56815,71.79
31,31,30125,49481,81.347
32,31,29646,43089,91.366
33,31,29131,37851,101.07
34,31,28652,33541,110.369
35,31,28182,30228,118.644
36,30,27664,27538,125.866
37,30,27186,25530,131.342
38,30,26714,23998,135.519
39,22,26257,22745,138.704
40,33,25775,55074,59.36
41,33,33750,45834,71.131
42,31,33218,37873,84.404
43,30,32679,31520,98.211
44,30,32173,26548,112.12
45,30,31670,22941,124.302
46,28,31171,20542,133.512
47,27,30693,18970,139.648
48,25,30175,17865,143.439
49,25,29689,17062,145.679
50,25,29209,16430,146.985
51,17,28797,15878,147.882
52,27,28326,37438,64.187
53,27,37204,28308,83.154
54,27,36644,21571,105.017
55,27,36143,17267,125.214
56,27,35620,14938,138.852
57,27,35098,13739,145.524
58,27,34574,13015,148.522
59,27,34073,12532,149.467
60,27,33596,12170,149.886
61,27,33073,11809,150.16
62,27,32551,11488,150.316
63,20,32024,11151,150.384
64,31,31545,23825,71.357
65,30,41438,15710,103.802
66,30,40845,11589,133.71
67,30,40241,10149,146.971
68,30,39624,9648,149.789
69,30,39050,9343,150.441
70,30,38465,9040,150.566
71,30,37890,8785,150.615
72,30,37339,8535,150.663
73,29,36779,8271,150.72
74,26,36225,8027,150.781
75,19,35690,7795,150.709
76,33,35151,13956,83.961
77,33,46289,8319,133.721
78,31,45586,7166,149.153
79,31,44920,6860,150.625
80,30,44279,6647,150.747
81,30,43612,6434,150.708
82,28,42962,6259,150.629
83,28,42358,6079,150.655
84,28,41741,5892,150.679
85,27,41136,5712,150.679
86,26,40535,5537,150.579
87,19,39996,5375,150.55
88,30,39374,7370,107.919
89,30,51745,5097,148.765
90,30,50996,4894,150.231
91,29,50268,4761,150.318
92,29,49559,4608,150.193
93,28,48857,4476,150.14
94,27,48179,4355,150.114
95,26,47520,4246,150.187
96,25,46870,4118,149.974
97,24,46266,4007,149.927
98,22,45662,3891,149.932
99,19,45078,3781,149.862
100,29,44453,3993,138.469
101,28,58443,3573,149.986
102,28,57670,3459,149.845
103,28,56908,3353,149.65
104,27,56174,3243,149.58
105,27,55415,3155,149.51
106,26,54681,3054,149.614
107,25,54022,2968,149.458
108,25,53335,2879,149.418
109,25,52641,2793,149.405
110,25,51966,2700,149.193
111,19,51312,2626,149.338
112,29,50601,2575,148.703
113,29,66639,2490,149.519
114,28,65756,2431,149.46
115,28,64910,2344,149.591
116,28,64095,2279,149.862
117,27,63292,2215,149.911
118,27,62496,2155,149.897
119,27,61698,2089,149.824
120,27,60903,2022,149.738
