month,wPop,ePop,mAHeight
1,10,18750,39.53
2,10,18506,44.119
3,10,18280,48.813
4,16,17969,35.985
5,15,25273,41.311
6,15,24900,46.938
7,15,24569,52.653
8,15,24226,58.443
9,15,23893,64.155
10,15,23547,69.712
11,15,23227,75.094
12,14,22914,80.222
13,25,22532,85.168
14,24,22162,89.874
15,24,21774,94.218
16,40,21292,50.975
17,39,27320,58.111
18,37,26786,65.251
19,37,26241,72.459
20,37,25764,79.692
21,35,25282,86.582
22,35,24765,93.532
23,33,24267,100.037
24,33,23780,106.025
25,32,23319,111.497
26,32,22913,116.407
27,28,22463,120.773
28,44,21958,53.492
29,42,28900,61.763
30,41,28343,70.486
31,41,27791,79.511
32,40,27240,88.707
33,39,26733,97.835
34,37,26191,106.548
35,37,25697,114.714
36,37,25198,122.049
37,37,24704,128.249
38,37,24206,133.306
39,28,23752,137.397
40,44,23236,58.668
41,43,30397,69.205
42,42,29826,80.747
43,40,29271,92.945
44,40,28706,105.145
45,40,28145,117.266
46,40,27579,127.167
47,40,27062,134.964
48,40,26531,140.532
49,40,26018,144.264
50,40,25489,146.785
51,33,24959,148.552
52,48,24386,62.587
53,48,31939,77.528
54,48,31302,94.404
55,46,30689,112.394
56,46,30077,128.494
57,44,29444,139.651
58,44,28840,145.926
59,44,28292,149.446
60,43,27696,151.277
61,42,27131,152.059
62,41,26633,152.538
63,31,26101,152.922
64,45,25545,67.378
65,45,33270,90.119
66,45,32629,116.085
67,45,32023,137.216
68,45,31443,148.428
69,44,30833,151.852
70,43,30227,153.097
71,43,29643,153.371
72,43,29055,153.508
73,43,28480,153.453
74,40,27931,153.469
75,31,27408,153.523
76,45,26839,74.752
77,45,35180,113.154
78,45,34555,142.205
79,44,33926,151.695
80,43,33345,153.377
81,39,32759,153.455
82,36,32186,153.6
83,36,31628,153.59
84,36,31105,153.482
85,35,30527,153.563
86,35,30039,153.591
87,26,29477,153.637
88,43,28911,87.759
89,43,37863,140.473
90,43,37219,152.556
91,42,36571,153.417
92,41,35920,153.476
93,41,35288,153.51
94,41,34701,153.531
95,39,34123,153.594
96,39,33534,153.618
97,39,32942,153.507
98,38,32412,153.462
99,31,31872,153.433
100,49,31273,112.342
101,47,40939,152.109
102,46,40225,153.124
103,44,39506,153.176
104,43,38794,153.136
105,43,38142,153.14
106,43,37491,153.142
107,43,36838,153.191
108,43,36186,153.292
109,42,35532,153.369
110,41,34962,153.468
111,34,34355,153.613
112,50,33692,140.231
113,49,44032,153.473
114,48,43271,153.376
115,47,42555,153.276
116,47,41832,153.21
117,46,41087,153.189
118,45,40355,153.184
119,44,39625,153.215
120,44,38932,153.256
