month,wPop,ePop,mAHeight
1,4,18767,39.505
2,4,18534,44.096
3,4,18303,48.769
4,8,18060,35.909
5,8,25489,41.218
6,8,25213,46.818
7,7,24909,52.566
8,7,24613,58.421
9,6,24345,64.173
10,6,24083,69.729
11,6,23794,75.109
12,6,23500,80.285
13,12,23167,85.204
14,12,22860,89.926
15,12,22554,94.29
16,23,22188,51.078
17,23,28632,58.385
18,23,28180,65.681
19,23,27747,73.144
20,22,27319,80.633
21,21,26936,87.989
22,20,26548,94.965
23,20,26168,101.643
24,20,25800,107.637
25,20,25406,113.011
26,20,25022,117.693
27,18,24630,121.725
28,27,24219,53.99
29,27,31978,62.787
30,27,31473,71.999
31,27,30954,81.79
32,27,30454,91.806
33,26,29984,101.69
34,26,29524,111.028
35,25,29059,119.214
36,25,28609,126.214
37,24,28174,131.662
38,24,27767,135.795
39,14,27320,138.736
40,24,26900,59.454
41,24,35328,71.714
42,24,34800,85.359
43,24,34311,99.87
44,24,33788,114.068
45,24,33298,126.069
46,24,32833,134.917
47,24,32369,140.323
48,24,31920,143.593
49,23,31451,145.585
50,22,30993,146.699
51,17,30559,147.399
52,30,30082,64.89
53,30,39530,84.953
54,30,38930,107.697
55,30,38351,127.835
56,30,37810,140.32
57,29,37205,145.965
58,29,36619,148.171
59,28,36042,148.86
60,28,35498,149.109
61,28,34961,149.223
62,27,34468,149.361
63,23,33928,149.345
64,34,33382,71.837
65,34,43655,105.898
66,34,42966,135.195
67,33,42332,146.297
68,33,41649,148.987
69,30,41039,149.387
70,30,40404,149.554
71,30,39806,149.604
72,30,39252,149.555
73,30,38666,149.621
74,30,38123,149.537
75,22,37549,149.543
76,30,36951,85.917
77,30,48733,135.314
78,30,48091,147.985
79,30,47446,149.218
80,30,46804,149.335
81,29,46115,149.366
82,28,45455,149.301
83,27,44810,149.285
84,27,44231,149.27
85,27,43637,149.349
86,27,43045,149.516
87,20,42405,149.365
88,31,41799,109.632
89,31,54790,148.471
90,30,54075,149.334
91,30,53324,149.316
92,30,52596,149.363
93,29,51855,149.398
94,29,51163,149.452
95,29,50467,149.424
96,28,49772,149.36
97,28,49074,149.36
98,28,48428,149.365
99,18,47775,149.332
100,29,47138,137.802
101,28,62019,149.29
102,27,61266,149.396
103,27,60396,149.379
104,27,59606,149.221
105,27,58847,149.024
106,27,58085,149.071
107,27,57319,149.056
108,27,56632,149.076
109,26,55853,149.171
110,25,55121,149.074
111,17,54415,148.986
112,25,53733,148.453
113,25,70887,149.048
114,25,70045,149.101
115,25,69188,148.907
116,25,68342,148.867
117,25,67483,149.03
118,25,66672,149.093
119,25,65836,149.155
120,25,65032,149.236
