month,wPop,ePop,mAHeight
1,17,18722,39.525
2,17,18420,44.104
3,17,18109,48.789
4,33,17734,35.963
5,33,24787,41.256
6,33,24319,46.772
7,32,23872,52.504
8,32,23421,58.297
9,32,22980,64.003
10,32,22543,69.607
11,31,22132,75.013
12,31,21681,80.147
13,54,21117,85.073
14,53,20514,89.648
15,52,19976,94.039
16,83,19203,50.471
17,82,24336,57.226
18,81,23533,64.036
19,78,22787,70.882
20,75,22033,77.549
21,75,21323,84.077
22,75,20658,90.546
23,72,20007,96.752
24,71,19356,102.637
25,69,18702,108.195
26,67,18064,113.312
27,58,17501,118.127
28,86,16761,52.649
29,86,21640,59.483
30,83,20887,66.369
31,82,20180,73.484
32,82,19470,80.542
33,79,18770,87.593
34,79,18064,94.725
35,79,17390,101.696
36,79,16717,108.379
37,78,16024,114.943
38,78,15357,120.978
39,57,14691,126.569
40,89,13985,55.632
41,87,17861,62.36
42,87,17073,69.173
43,85,16367,76.025
44,82,15649,83.005
45,82,14966,89.899
46,81,14256,96.843
47,80,13587,103.468
48,78,12916,109.912
49,76,12254,116.16
50,75,11641,121.884
51,55,11066,127.663
52,85,10397,55.904
53,85,13181,62.157
54,84,12521,68.318
55,83,11850,74.512
56,83,11174,80.529
57,82,10549,86.464
58,81,9914,92.515
59,81,9282,98.226
60,79,8695,103.94
61,75,8076,109.524
62,75,7498,114.779
63,61,6938,119.865
64,90,6253,54.103
65,89,7659,59.241
66,88,7043,64.4
67,88,6398,69.401
68,88,5746,74.306
69,86,5077,79.141
70,85,4456,83.738
71,85,3835,88.303
72,84,3213,92.821
73,83,2652,97.138
74,79,2130,101.3
75,63,1594,105.267
76,98,962,51.475
77,97,599,55.662
78,95,2,59.812
79,94,2,63.83
80,94,2,67.854
81,93,2,71.881
82,93,2,75.908
83,89,2,79.983
84,88,2,83.997
85,88,2,87.997
86,87,2,91.969
87,66,2,95.996
88,96,2,50.184
89,95,2,54.4
90,95,2,58.601
91,94,2,62.848
92,91,2,67.07
93,90,2,71.292
94,90,2,75.523
95,89,2,79.793
96,86,2,84.012
97,83,2,88.257
98,79,2,92.485
99,66,2,96.723
100,101,2,50.33
101,101,3,54.687
102,100,3,59.072
103,97,3,63.426
104,97,3,67.784
105,95,3,72.128
106,91,2,76.501
107,90,2,80.883
108,89,2,85.239
109,86,2,89.578
110,86,2,93.92
111,70,2,98.294
112,97,2,50.72
113,96,3,55.159
114,95,3,59.558
115,95,3,63.996
116,95,3,68.408
117,95,3,72.799
118,93,3,77.236
119,92,3,81.656
120,91,3,86.096
