month,wPop,ePop,mAHeight
1,9,18728,39.48
2,8,18478,44.071
3,8,18235,48.758
4,13,17940,35.931
5,13,25207,41.196
6,13,24857,46.766
7,13,24507,52.51
8,11,24176,58.28
9,9,23858,63.988
10,9,23581,69.549
11,9,23267,74.936
12,9,22967,80.075
13,19,22609,85.012
14,18,22252,89.65
15,18,21879,94.077
16,35,21411,50.954
17,32,27476,58.113
18,32,27009,65.32
19,32,26531,72.579
20,31,26046,79.794
21,30,25561,86.913
22,29,25136,93.905
23,28,24704,100.375
24,28,24295,106.474
25,27,23877,111.801
26,26,23476,116.771
27,23,23093,121.271
28,40,22584,53.591
29,40,29645,61.911
30,39,29089,70.562
31,39,28537,79.67
32,39,28044,88.882
33,39,27501,98.089
34,38,27013,106.972
35,38,26486,115.23
36,36,25969,122.635
37,34,25471,129.007
38,33,25017,134.313
39,26,24527,138.035
40,40,24027,58.506
41,38,31348,69.275
42,37,30790,80.978
43,37,30258,93.486
44,37,29755,106.409
45,37,29246,118.251
46,37,28751,128.432
47,37,28211,136.148
48,35,27706,141.551
49,35,27158,145.399
50,33,26643,147.783
51,25,26169,149.281
52,43,25639,63.201
53,42,33596,78.791
54,42,32992,96.761
55,42,32402,115.351
56,40,31848,131.862
57,37,31281,142.525
58,36,30736,148.172
59,36,30196,150.808
60,36,29660,152.192
61,36,29110,152.796
62,36,28578,153.119
63,30,28032,153.273
64,47,27444,68.657
65,47,35761,93.806
66,46,35103,121.847
67,45,34428,141.686
68,45,33797,150.041
69,45,33204,152.805
70,44,32563,153.452
71,43,31957,153.59
72,43,31348,153.7
73,43,30763,153.782
74,43,30122,153.782
75,33,29542,153.816
76,49,28894,75.839
77,49,37848,117.011
78,49,37149,145.773
79,49,36489,152.588
80,49,35819,153.579
81,49,35160,153.739
82,49,34495,153.852
83,47,33794,153.911
84,47,33126,153.965
85,45,32528,153.901
86,44,31940,153.917
87,34,31345,153.947
88,48,30707,90.362
89,47,40080,143.541
90,46,39386,153.323
91,46,38712,153.855
92,46,38033,153.853
93,45,37347,153.764
94,44,36674,153.771
95,44,36027,153.742
96,43,35365,153.69
97,43,34750,153.767
98,42,34111,153.846
99,36,33486,153.858
100,52,32842,115.713
101,50,42986,152.901
102,50,42231,153.72
103,50,41480,153.725
104,50,40716,153.708
105,50,39946,153.578
106,47,39188,153.627
107,47,38528,153.634
108,46,37820,153.694
109,46,37140,153.598
110,46,36440,153.596
111,39,35777,153.414
112,55,35064,144.69
113,55,46100,153.449
114,55,45282,153.496
115,54,44462,153.496
116,53,43641,153.586
117,52,42868,153.659
118,52,42092,153.627
119,51,41303,153.682
120,48,40531,153.64
