month,wPop,ePop,aPop,mAHeight
1,14,18721,84684,39.448
2,13,18450,75295,44.029
3,13,18181,66732,48.722
4,28,17791,96175,35.995
5,27,24885,86206,41.274
6,27,24443,77859,46.803
7,27,24016,71018,52.513
8,26,23585,65375,58.27
9,26,23201,60477,63.998
10,24,22805,56240,69.556
11,24,22425,52654,74.905
12,24,22056,49408,80.085
13,40,21576,46610,84.966
14,38,21125,44121,89.573
15,37,20643,41850,94.0
16,62,20013,81949,50.949
17,62,25649,74585,57.836
18,60,24976,67720,64.918
19,60,24332,61637,71.888
20,59,23699,56146,78.928
21,59,23051,51368,85.746
22,57,22444,47186,92.399
23,56,21841,43487,98.68
24,55,21304,40317,104.58
25,54,20711,37507,110.147
26,53,20202,35176,115.169
27,46,19674,33071,119.832
28,63,19062,78883,52.973
29,63,24808,70751,60.423
30,62,24149,63276,68.17
31,61,23535,56770,75.943
32,60,22928,50728,84.079
33,60,22312,45469,92.327
34,59,21715,40966,100.249
35,59,21120,37065,107.941
36,58,20509,33667,115.208
37,57,19938,30845,121.853
38,55,19359,28463,127.806
39,38,18826,26517,133.113
40,62,18246,64284,57.087
41,58,23558,56718,65.523
42,57,22945,50072,74.186
43,57,22353,44212,83.12
44,57,21787,38830,92.614
45,57,21196,34367,101.934
46,55,20631,30578,111.243
47,54,20049,27439,119.929
48,52,19477,24950,127.547
49,52,18969,22841,134.449
50,52,18465,21269,139.894
51,44,17933,19993,144.25
52,72,17297,50145,59.686
53,72,22268,43273,69.447
54,72,21565,37270,79.982
55,71,20916,32155,90.838
56,68,20226,27613,102.41
57,68,19572,23920,113.849
58,65,18933,21219,124.248
59,65,18345,19082,133.222
60,65,17755,17464,140.307
61,63,17177,16203,145.919
62,63,16592,15261,149.902
63,52,15988,14567,152.664
64,74,15331,37310,61.382
65,72,19717,31442,72.672
66,71,19046,26418,84.958
67,69,18396,22111,98.282
68,67,17743,18679,111.96
69,67,17146,16126,124.721
70,66,16541,14222,135.765
71,65,15940,12918,144.001
72,65,15385,12003,149.825
73,63,14793,11362,153.375
74,63,14235,10813,155.75
75,45,13688,10373,157.63
76,65,13076,26596,63.149
77,65,16845,21657,76.621
78,64,16221,17543,92.008
79,64,15661,14375,108.228
80,64,15074,12044,123.917
81,64,14501,10415,137.303
82,64,13967,9366,147.015
83,63,13428,8666,153.113
84,61,12875,8210,156.599
85,60,12358,7857,158.428
86,59,11841,7574,159.581
87,52,11312,7318,160.329
88,69,10749,18668,64.257
89,68,13661,14863,79.642
90,68,13077,11872,96.742
91,67,12493,9554,115.279
92,66,11919,7975,132.139
93,65,11393,6933,145.095
94,62,10839,6333,152.97
95,60,10318,5942,157.494
96,58,9817,5668,159.508
97,58,9365,5469,160.455
98,57,8899,5281,160.946
99,46,8453,5132,160.944
100,70,7889,12928,65.25
101,70,9972,10256,81.164
102,69,9416,8099,99.813
103,67,8888,6555,117.952
104,65,8361,5483,134.701
105,64,7875,4824,147.198
106,61,7378,4449,153.923
107,60,6920,4203,157.313
108,59,6462,4008,159.206
109,59,5995,3855,160.439
110,57,5587,3726,161.1
111,46,5157,3623,161.344
112,70,4662,9327,64.293
113,68,5645,7645,77.727
114,68,5148,6262,92.015
115,68,4659,5199,106.878
116,67,4164,4425,120.461
117,67,3657,3874,132.046
118,67,3190,3512,140.802
119,67,2750,3245,146.829
120,65,2264,3052,151.158
