month,wPop,ePop,aPop,mAHeight
1,5,18787,84722,39.488
2,5,18563,75216,44.075
3,5,18361,66498,48.762
4,11,18132,96420,35.953
5,11,25494,86401,41.235
6,11,25176,77830,46.812
7,11,24837,70981,52.569
8,11,24495,65134,58.437
9,11,24172,60249,64.194
10,11,23872,56034,69.767
11,11,23563,52438,75.127
12,11,23230,49194,80.246
13,16,22897,46307,85.16
14,16,22551,43749,89.788
15,15,22223,41478,94.126
16,26,21839,81001,51.088
17,26,28053,73099,58.277
18,26,27603,66066,65.527
19,25,27172,59683,72.978
20,24,26744,54077,80.28
21,23,26339,49152,87.445
22,22,25956,44834,94.417
23,22,25561,41158,100.967
24,22,25144,38053,107.038
25,21,24730,35460,112.402
26,21,24341,33271,117.167
27,17,23955,31448,121.272
28,29,23534,74443,53.805
29,29,31029,65153,62.414
30,28,30535,56895,71.493
31,28,30049,49602,81.035
32,28,29573,43377,90.809
33,28,29099,38145,100.524
34,27,28618,33860,109.763
35,27,28158,30319,118.172
36,25,27709,27735,125.223
37,25,27242,25744,130.722
38,24,26772,24091,135.242
39,21,26344,22908,138.403
40,32,25893,55254,59.375
41,32,33856,45924,71.336
42,32,33311,37962,84.604
43,32,32778,31559,98.676
44,31,32289,26483,112.879
45,30,31806,23032,124.738
46,30,31302,20614,133.892
47,28,30801,18994,139.964
48,28,30309,17945,143.476
49,28,29811,17141,145.507
50,28,29323,16526,146.771
51,21,28857,15953,147.521
52,33,28335,37554,64.081
53,33,37032,28419,82.995
54,33,36418,21648,104.654
55,33,35842,17346,124.697
56,33,35305,15006,138.125
57,32,34725,13773,145.237
58,31,34151,13113,147.894
59,30,33607,12614,149.122
60,30,33082,12223,149.543
61,29,32552,11844,149.719
62,29,32046,11529,149.799
63,23,31494,11184,149.843
64,36,30971,24131,70.494
65,36,40524,16037,101.803
66,35,39903,11788,131.956
67,35,39271,10264,145.837
68,35,38656,9724,149.127
69,35,38088,9394,149.804
70,33,37531,9092,150.068
71,33,36922,8832,150.096
72,33,36322,8574,150.133
73,33,35759,8299,150.202
74,33,35208,8015,150.314
75,25,34647,7791,150.408
76,33,34058,14075,83.458
77,33,44781,8513,131.49
78,33,44138,7293,148.352
79,33,43461,6989,150.234
80,33,42816,6777,150.491
81,31,42162,6577,150.51
82,31,41471,6389,150.41
83,30,40829,6202,150.434
84,28,40220,6001,150.542
85,27,39659,5812,150.599
86,26,39067,5628,150.658
87,20,38486,5470,150.75
88,28,37922,7627,105.908
89,28,49862,5195,148.926
90,28,49172,4981,150.576
91,27,48500,4839,150.641
92,27,47846,4684,150.667
93,26,47175,4553,150.592
94,26,46534,4422,150.481
95,26,45902,4311,150.369
96,26,45233,4191,150.434
97,26,44648,4056,150.475
98,26,44024,3930,150.426
99,20,43402,3835,150.38
100,30,42771,4152,135.302
101,28,56166,3600,150.407
102,26,55466,3490,150.361
103,25,54772,3400,150.359
104,25,54069,3310,150.241
105,22,53363,3206,150.325
106,22,52673,3120,150.357
107,22,51988,3031,150.282
108,21,51302,2942,150.488
109,21,50701,2865,150.366
110,21,50032,2779,150.268
111,18,49425,2694,150.28
112,29,48743,2625,149.199
113,29,64020,2524,150.089
114,28,63188,2462,150.056
115,28,62396,2382,149.986
116,28,61503,2325,150.044
117,28,60736,2258,150.054
118,28,59951,2194,150.034
119,26,59178,2126,150.174
120,26,58401,2052,150.052
