month,wPop,ePop,mAHeight
1,5,18768,39.508
2,5,18530,44.076
3,5,18318,48.761
4,16,18035,35.995
5,16,25357,41.321
6,16,24958,46.863
7,16,24611,52.602
8,16,24294,58.382
9,16,23938,64.104
10,16,23606,69.644
11,16,23264,74.96
12,16,22903,80.105
13,22,22545,85.048
14,22,22199,89.643
15,21,21799,94.002
16,31,21337,51.055
17,31,27383,58.182
18,31,26899,65.404
19,31,26412,72.672
20,31,25948,79.873
21,30,25491,86.895
22,30,25047,93.812
23,30,24647,100.259
24,29,24207,106.341
25,28,23782,111.828
26,28,23367,116.808
27,20,22946,121.128
28,29,22497,53.691
29,29,29709,62.014
30,29,29203,70.686
31,29,28720,79.796
32,29,28253,89.322
33,29,27795,98.773
34,29,27332,107.682
35,29,26879,116.071
36,29,26441,123.315
37,28,25995,129.442
38,27,25586,134.362
39,24,25142,138.16
40,32,24697,59.13
41,32,32385,70.516
42,31,31836,82.802
43,31,31315,95.759
44,31,30814,108.926
45,31,30260,120.966
46,31,29796,130.773
47,31,29306,138.092
48,31,28830,142.9
49,30,28304,145.845
50,30,27847,147.544
51,26,27365,148.755
52,40,26841,63.346
53,39,35039,80.343
54,39,34476,99.655
55,38,33860,119.683
56,38,33247,134.878
57,38,32678,144.1
58,38,32103,148.481
59,38,31508,150.443
60,37,30963,151.257
61,37,30404,151.617
62,36,29879,151.762
63,30,29369,151.902
64,40,28781,68.132
65,40,37630,95.164
66,40,37041,124.443
67,37,36432,143.15
68,36,35852,150.102
69,36,35262,151.834
70,36,34668,152.332
71,36,34119,152.443
72,35,33505,152.365
73,35,32957,152.362
74,35,32411,152.434
75,26,31863,152.413
76,35,31361,78.861
77,33,41206,123.414
78,33,40617,147.544
79,33,39990,152.167
80,33,39366,152.673
81,33,38779,152.72
82,33,38168,152.72
83,33,37621,152.725
84,33,37014,152.669
85,31,36436,152.604
86,30,35853,152.475
87,23,35345,152.539
88,34,34760,96.358
89,32,45613,146.849
90,31,44956,152.374
91,31,44254,152.691
92,30,43623,152.667
93,30,43014,152.551
94,30,42375,152.447
95,29,41780,152.598
96,28,41188,152.625
97,28,40574,152.708
98,26,39974,152.821
99,22,39380,152.769
100,32,38754,126.359
101,32,50830,152.551
102,32,50103,152.614
103,31,49419,152.565
104,30,48738,152.694
105,29,48081,152.508
106,29,47454,152.465
107,29,46810,152.429
108,29,46153,152.409
109,29,45531,152.381
110,29,44879,152.382
111,22,44230,152.474
112,34,43586,148.827
113,33,57328,152.665
114,32,56552,152.651
115,32,55808,152.45
116,31,55033,152.466
117,30,54255,152.565
118,30,53508,152.562
119,30,52766,152.609
120,30,52021,152.628
