month,wPop,ePop,mAHeight
1,18,18710,39.487
2,17,18444,44.049
3,16,18156,48.719
4,35,17728,35.932
5,34,24870,41.198
6,34,24406,46.724
7,34,23950,52.441
8,34,23484,58.177
9,33,23017,63.846
10,32,22582,69.412
11,32,22155,74.722
12,31,21762,79.833
13,54,21202,84.777
14,54,20648,89.442
15,54,20087,93.821
16,85,19279,50.559
17,84,24413,57.353
18,82,23643,64.168
19,81,22860,70.902
20,77,22105,77.667
21,74,21379,84.322
22,71,20739,90.833
23,71,20068,96.974
24,71,19445,102.916
25,70,18789,108.481
26,66,18166,113.562
27,53,17580,118.29
28,81,16873,52.371
29,80,21600,59.31
30,76,20858,66.24
31,76,20143,73.365
32,75,19439,80.568
33,72,18747,87.72
34,71,18090,94.751
35,71,17392,101.756
36,71,16713,108.521
37,67,16068,114.943
38,67,15486,121.055
39,46,14884,126.689
40,77,14224,55.683
41,75,18314,62.634
42,74,17636,69.54
43,74,16945,76.678
44,74,16261,83.753
45,73,15638,90.974
46,71,15011,97.98
47,70,14375,104.837
48,68,13772,111.379
49,67,13145,117.742
50,65,12602,123.729
51,47,12064,129.637
52,76,11432,56.078
53,75,14547,62.59
54,75,13913,69.111
55,74,13296,75.725
56,72,12695,82.417
57,70,12106,88.893
58,70,11487,95.37
59,69,10950,101.658
60,68,10387,107.891
61,68,9874,113.977
62,65,9328,119.663
63,51,8824,125.209
64,86,8193,55.32
65,86,10261,61.042
66,85,9578,66.682
67,84,8912,72.215
68,84,8303,77.83
69,83,7631,83.406
70,82,7012,88.82
71,81,6382,94.0
72,78,5811,99.042
73,76,5279,104.004
74,76,4747,108.777
75,64,4226,113.346
76,98,3562,53.025
77,96,4027,57.619
78,94,3342,62.191
79,94,2705,66.561
80,92,2052,70.827
81,89,1409,74.993
82,87,825,79.025
83,83,243,82.962
84,81,0,86.795
85,81,0,90.582
86,80,0,94.45
87,55,0,98.159
88,92,0,50.462
89,88,0,54.626
90,87,0,58.767
91,86,0,62.928
92,86,0,67.075
93,84,0,71.212
94,83,0,75.388
95,77,0,79.589
96,75,0,83.762
97,75,0,87.947
98,75,0,92.157
99,62,0,96.27
100,88,0,50.268
101,88,0,54.608
102,86,0,58.888
103,83,0,63.206
104,81,0,67.517
105,80,0,71.856
106,79,0,76.181
107,79,0,80.518
108,77,0,84.837
109,77,0,89.169
110,76,0,93.49
111,57,0,97.822
112,90,0,50.606
113,90,0,55.024
114,89,0,59.412
115,88,0,63.814
116,87,0,68.221
117,84,0,72.621
118,80,0,77.025
119,80,0,81.41
120,80,0,85.84
