month,wPop,ePop,aPop,mAHeight
1,14,18697,84887,39.518
2,14,18415,75511,44.092
3,14,18119,66935,48.772
4,24,17779,96858,36.049
5,23,24885,86813,41.324
6,23,24466,78453,46.891
7,22,24104,71722,52.606
8,21,23749,66000,58.395
9,21,23398,61227,64.072
10,20,23028,57138,69.61
11,20,22697,53534,74.916
12,18,22370,50291,80.11
13,34,21931,47381,85.034
14,32,21480,44771,89.719
15,32,21068,42469,94.117
16,56,20473,83473,50.797
17,55,26141,75890,57.73
18,54,25537,68890,64.791
19,51,24954,62575,71.822
20,51,24401,56940,78.805
21,50,23827,51855,85.751
22,49,23285,47557,92.498
23,48,22766,43731,98.942
24,48,22216,40454,104.913
25,48,21668,37632,110.462
26,48,21155,35248,115.493
27,42,20660,33145,120.063
28,61,20043,78622,53.255
29,59,26138,70230,60.988
30,59,25494,62572,68.949
31,58,24865,55751,77.098
32,57,24236,49715,85.372
33,56,23615,44468,93.749
34,55,22980,39796,102.117
35,52,22381,35924,110.061
36,52,21820,32716,117.292
37,51,21259,29969,123.998
38,51,20702,27732,129.885
39,41,20181,25860,134.797
40,61,19567,63249,57.424
41,60,25287,55264,66.444
42,60,24617,48279,75.798
43,59,23985,42109,85.671
44,58,23381,36854,95.723
45,57,22810,32366,105.856
46,57,22231,28728,115.505
47,57,21614,25775,124.187
48,57,20993,23474,131.782
49,55,20378,21678,137.932
50,53,19797,20298,142.732
51,43,19254,19179,146.52
52,66,18640,48295,60.29
53,66,24217,41100,71.019
54,66,23491,34798,82.66
55,64,22805,29459,95.218
56,64,22197,25173,107.756
57,63,21575,21822,119.746
58,61,20951,19242,130.499
59,60,20359,17317,139.314
60,60,19756,15977,145.737
61,58,19166,15036,149.771
62,58,18565,14302,152.721
63,45,17979,13702,154.785
64,70,17359,34860,62.7
65,69,22397,28539,76.003
66,68,21706,23204,91.064
67,68,21011,18965,107.227
68,65,20329,15942,122.56
69,64,19649,13773,135.976
70,63,19059,12377,145.451
71,63,18458,11448,151.612
72,62,17860,10838,155.036
73,62,17236,10375,156.986
74,60,16631,9986,158.091
75,48,16084,9634,158.561
76,65,15529,24262,64.845
77,64,20118,18876,81.731
78,62,19524,14742,101.098
79,62,18907,11734,121.494
80,61,18300,9840,138.591
81,60,17719,8787,149.517
82,60,17164,8133,155.508
83,60,16589,7765,157.961
84,60,16059,7460,159.016
85,59,15479,7199,159.632
86,59,14948,6988,159.751
87,43,14425,6777,159.894
88,66,13856,16167,68.324
89,66,17802,11863,90.643
90,65,17186,8856,116.705
91,62,16633,7141,137.755
92,60,16062,6254,151.293
93,59,15499,5822,156.575
94,57,14971,5587,158.627
95,57,14460,5390,159.678
96,56,13905,5213,160.046
97,54,13394,5057,160.257
98,53,12926,4905,160.101
99,42,12449,4755,160.015
100,62,11922,10818,71.15
101,59,15284,7352,101.126
102,57,14747,5401,131.564
103,57,14231,4521,150.613
104,56,13716,4170,157.693
105,55,13199,4008,159.156
106,55,12706,3870,159.63
107,54,12266,3740,159.734
108,54,11795,3641,159.715
109,54,11354,3536,159.825
110,53,10872,3443,159.709
111,42,10410,3351,159.719
112,62,9899,7307,74.42
113,62,12610,4755,109.936
114,59,12089,3507,142.235
115,59,11570,3091,155.597
116,59,11074,2931,158.622
117,57,10594,2814,159.274
118,54,10100,2708,159.32
119,54,9630,2626,159.346
120,52,9196,2559,159.378
