month,wPop,ePop,mAHeight
1,14,18738,39.513
2,14,18443,44.09
3,13,18153,48.793
4,23,17825,36.044
5,23,25009,41.328
6,23,24615,46.869
7,21,24216,52.546
8,21,23823,58.309
9,21,23451,64.012
10,21,23069,69.509
11,21,22716,74.88
12,21,22336,80.029
13,37,21852,84.914
14,36,21389,89.619
15,34,20936,93.996
16,57,20335,50.843
17,55,25872,57.673
18,52,25272,64.754
19,52,24723,71.807
20,50,24145,78.845
21,50,23553,85.602
22,48,23013,92.355
23,48,22448,98.536
24,48,21926,104.651
25,48,21423,110.263
26,46,20911,115.274
27,39,20396,119.782
28,62,19795,53.048
29,61,25849,60.614
30,61,25211,68.424
31,61,24580,76.562
32,58,23962,84.618
33,58,23361,92.802
34,57,22730,100.924
35,55,22174,108.73
36,53,21586,116.03
37,53,21022,122.751
38,51,20471,128.669
39,40,19934,133.751
40,64,19290,57.391
41,64,25187,66.138
42,63,24533,75.245
43,63,23898,84.895
44,63,23257,94.7
45,62,22621,104.662
46,60,22020,113.854
47,58,21441,122.766
48,55,20848,130.417
49,53,20272,136.745
50,53,19736,141.787
51,43,19233,145.569
52,65,18638,60.176
53,62,24055,70.892
54,62,23457,82.429
55,62,22837,94.391
56,61,22213,106.706
57,61,21570,118.444
58,60,20954,129.202
59,60,20325,137.465
60,59,19710,143.881
61,59,19137,148.512
62,58,18552,151.652
63,46,17953,153.896
64,66,17361,62.563
65,64,22582,75.785
66,62,21963,90.783
67,62,21346,106.454
68,62,20740,122.094
69,58,20126,135.721
70,57,19562,145.161
71,56,18970,150.928
72,55,18437,154.681
73,55,17856,156.488
74,53,17347,157.423
75,44,16801,158.153
76,63,16229,65.68
77,61,20948,82.887
78,61,20325,103.467
79,60,19732,123.948
80,59,19148,140.326
81,59,18591,150.347
82,59,18015,155.594
83,59,17440,157.49
84,59,16893,158.567
85,59,16313,158.947
86,58,15794,159.002
87,43,15265,159.088
88,66,14684,69.232
89,65,18995,93.048
90,64,18395,120.882
91,64,17808,142.864
92,64,17205,153.564
93,63,16577,157.801
94,62,16018,158.96
95,61,15494,159.267
96,61,14957,159.441
97,60,14415,159.566
98,59,13892,159.578
99,46,13375,159.542
100,69,12773,71.733
101,68,16459,102.359
102,66,15832,133.92
103,66,15254,151.653
104,65,14683,157.779
105,65,14119,159.549
106,64,13543,159.551
107,63,12964,159.79
108,63,12415,159.738
109,59,11885,159.515
110,58,11394,159.574
111,42,10902,159.746
112,69,10346,76.466
113,69,13202,113.488
114,68,12639,145.552
115,68,12063,156.01
116,67,11487,158.973
117,65,10934,159.557
118,61,10392,159.604
119,59,9868,159.748
120,57,9385,159.574
