month,wPop,ePop,mAHeight
1,10,18743,39.485
2,10,18515,44.065
3,10,18260,48.744
4,17,17940,35.955
5,17,25174,41.195
6,17,24820,46.781
7,17,24470,52.532
8,17,24094,58.253
9,17,23759,63.968
10,17,23418,69.55
11,17,23120,74.975
12,17,22802,80.124
13,28,22406,85.035
14,28,22020,89.653
15,28,21612,94.003
16,46,21086,50.834
17,46,26961,57.852
18,45,26372,64.945
19,44,25843,72.115
20,44,25301,79.275
21,43,24746,86.368
22,42,24229,93.128
23,42,23686,99.581
24,42,23164,105.577
25,42,22672,111.154
26,40,22184,116.07
27,34,21711,120.51
28,49,21160,53.345
29,47,27882,61.317
30,46,27302,69.6
31,46,26713,78.224
32,45,26154,86.948
33,44,25590,95.623
34,41,25013,104.141
35,41,24498,112.526
36,41,23945,120.006
37,40,23407,126.594
38,37,22883,132.047
39,30,22450,136.533
40,43,21917,58.113
41,41,28622,67.947
42,41,28059,78.671
43,40,27526,89.976
44,40,26968,101.719
45,40,26410,113.066
46,40,25893,123.305
47,39,25378,132.256
48,39,24868,138.832
49,35,24386,143.507
50,35,23890,146.725
51,32,23436,148.863
52,48,22892,62.21
53,47,29778,76.013
54,47,29176,91.412
55,46,28608,107.668
56,45,28029,123.113
57,43,27417,135.399
58,40,26846,143.81
59,40,26308,148.808
60,40,25794,151.5
61,39,25270,153.064
62,37,24783,153.824
63,32,24322,154.31
64,46,23813,66.077
65,45,31132,87.053
66,45,30508,110.81
67,44,29880,132.476
68,44,29301,146.018
69,43,28738,152.099
70,43,28172,154.468
71,43,27612,155.317
72,43,27052,155.579
73,42,26522,155.774
74,40,26000,155.731
75,31,25503,155.736
76,47,24936,72.764
77,46,32817,106.733
78,44,32204,137.587
79,43,31626,151.937
80,41,31044,154.834
81,39,30446,155.53
82,38,29911,155.728
83,37,29359,155.759
84,37,28826,155.803
85,37,28294,155.873
86,37,27768,155.966
87,27,27266,155.993
88,41,26768,83.339
89,41,34982,133.302
90,41,34391,153.673
91,41,33788,155.821
92,41,33223,156.221
93,40,32616,156.233
94,39,32062,156.148
95,38,31477,156.109
96,38,30918,156.096
97,38,30382,156.054
98,38,29844,156.055
99,30,29286,155.994
100,47,28685,105.231
101,46,37457,153.86
102,45,36817,156.255
103,45,36154,156.356
104,44,35441,156.221
105,43,34786,156.325
106,43,34172,156.353
107,40,33570,156.269
108,40,32992,156.264
109,40,32359,156.266
110,40,31757,156.316
111,34,31213,156.254
112,48,30575,134.059
113,46,40013,156.432
114,46,39285,156.601
115,44,38597,156.548
116,44,37929,156.564
117,43,37280,156.51
118,42,36642,156.54
119,41,36001,156.695
120,40,35375,156.551
