month,wPop,ePop,mAHeight
1,22,18661,39.497
2,21,18329,44.065
3,21,18015,48.761
4,38,17602,35.895
5,36,24574,41.156
6,34,24115,46.701
7,30,23644,52.384
8,29,23208,58.115
9,28,22767,63.764
10,28,22375,69.294
11,28,21942,74.692
12,28,21574,79.816
13,55,20977,84.724
14,54,20390,89.431
15,51,19850,93.806
16,88,19082,50.674
17,85,24197,57.45
18,83,23444,64.293
19,79,22687,71.046
20,76,21915,77.743
21,74,21203,84.294
22,73,20520,90.66
23,69,19828,96.773
24,69,19205,102.681
25,68,18568,108.167
26,68,17925,113.212
27,63,17277,118.072
28,96,16485,52.571
29,95,21117,59.304
30,93,20297,66.195
31,90,19470,73.127
32,90,18716,79.973
33,88,17940,86.963
34,85,17177,93.949
35,83,16447,100.727
36,83,15727,107.284
37,82,15028,113.447
38,81,14297,119.416
39,62,13612,125.036
40,101,12821,55.382
41,99,16176,61.836
42,96,15391,68.322
43,95,14587,74.762
44,95,13807,81.158
45,94,13045,87.576
46,92,12283,93.892
47,90,11552,100.037
48,88,10806,106.014
49,88,10098,111.695
50,87,9438,117.328
51,68,8777,122.482
52,116,7925,54.685
53,116,9677,60.095
54,116,8780,65.404
55,116,7961,70.557
56,114,7157,75.656
57,112,6344,80.572
58,108,5570,85.272
59,92,4839,89.849
60,91,4179,94.413
61,90,3536,98.748
62,89,2900,102.918
63,68,2305,106.904
64,108,1554,51.782
65,107,1303,56.005
66,107,612,60.057
67,107,1,64.105
68,106,1,68.066
69,106,1,72.057
70,104,1,75.994
71,103,1,79.992
72,102,1,83.982
73,102,1,87.924
74,101,1,91.862
75,79,1,95.886
76,114,1,50.144
77,113,1,54.371
78,112,1,58.574
79,110,1,62.79
80,110,1,66.987
81,108,1,71.204
82,107,1,75.348
83,106,1,79.566
84,104,1,83.796
85,103,1,88.082
86,103,1,92.352
87,82,1,96.541
88,117,1,50.313
89,116,2,54.66
90,115,2,59.017
91,113,2,63.348
92,110,2,67.712
93,108,2,72.062
94,107,2,76.383
95,106,2,80.732
96,103,2,85.082
97,103,2,89.406
98,102,2,93.74
99,81,2,98.056
100,118,2,50.665
101,118,2,55.082
102,116,2,59.502
103,115,2,63.909
104,113,2,68.327
105,111,2,72.687
106,106,1,77.084
107,106,1,81.487
108,103,1,85.923
109,100,1,90.351
110,100,1,94.761
111,80,1,99.155
112,112,1,50.785
113,111,1,55.203
114,111,1,59.637
115,109,1,64.086
116,108,1,68.532
117,108,1,72.991
118,108,1,77.444
119,108,1,81.847
120,107,1,86.259
