month,wPop,ePop,mAHeight
1,17,18707,39.534
2,17,18402,44.111
3,17,18102,48.799
4,34,17700,35.979
5,34,24771,41.242
6,32,24302,46.729
7,31,23848,52.446
8,31,23367,58.242
9,28,22920,63.895
10,27,22517,69.395
11,26,22102,74.724
12,26,21700,79.832
13,48,21175,84.785
14,48,20687,89.49
15,46,20205,93.845
16,78,19491,50.688
17,74,24620,57.454
18,70,23931,64.218
19,68,23274,71.165
20,68,22616,77.939
21,66,21927,84.629
22,65,21293,91.137
23,63,20674,97.304
24,62,20087,103.322
25,60,19504,108.9
26,59,18900,114.048
27,47,18309,118.756
28,77,17602,52.683
29,77,22865,59.693
30,77,22162,66.854
31,76,21458,74.211
32,76,20747,81.615
33,74,20069,89.064
34,72,19406,96.367
35,71,18753,103.663
36,68,18113,110.515
37,66,17499,117.065
38,65,16878,123.304
39,48,16250,128.945
40,79,15550,56.256
41,78,19946,63.581
42,76,19226,70.959
43,74,18536,78.548
44,71,17852,86.203
45,70,17214,93.818
46,68,16574,101.418
47,68,15944,108.803
48,68,15321,115.954
49,68,14715,122.867
50,67,14108,129.017
51,49,13499,134.71
52,80,12814,57.292
53,78,16352,64.445
54,78,15669,71.665
55,78,15002,79.014
56,77,14328,86.395
57,76,13686,93.921
58,76,13039,101.254
59,75,12441,108.306
60,73,11824,115.208
61,72,11180,121.93
62,71,10577,128.224
63,60,10001,133.794
64,93,9267,56.565
65,92,11637,63.012
66,92,10925,69.334
67,91,10223,75.723
68,89,9550,81.996
69,87,8866,88.209
70,87,8186,94.223
71,86,7551,100.103
72,86,6920,105.738
73,86,6290,111.337
74,85,5676,116.39
75,64,5088,121.321
76,90,4434,54.324
77,90,5287,59.257
78,88,4650,64.081
79,87,4050,68.812
80,87,3416,73.417
81,87,2832,77.864
82,87,2247,82.167
83,86,1670,86.344
84,86,1057,90.323
85,86,513,94.139
86,85,0,97.878
87,65,0,101.328
88,98,0,50.903
89,97,0,54.958
90,95,0,58.961
91,94,0,62.956
92,94,0,67.041
93,89,0,71.05
94,88,0,75.105
95,88,0,79.133
96,87,0,83.153
97,87,0,87.173
98,85,0,91.248
99,69,0,95.251
100,101,0,50.047
101,100,0,54.323
102,96,0,58.578
103,95,0,62.834
104,94,0,67.091
105,93,0,71.352
106,93,0,75.623
107,91,0,79.805
108,90,0,84.126
109,89,0,88.421
110,89,0,92.707
111,74,0,96.983
112,105,0,50.363
113,104,0,54.745
114,101,0,59.116
115,97,0,63.494
116,95,0,67.841
117,93,0,72.203
118,89,0,76.593
119,89,0,80.994
120,87,0,85.328
