month,wPop,ePop,aPop,mAHeight
1,5,18759,84883,39.46
2,5,18533,75385,44.03
3,5,18311,66724,48.714
4,12,18052,96207,36.058
5,11,25506,86004,41.346
6,11,25131,77427,46.93
7,11,24777,70552,52.615
8,8,24477,64834,58.45
9,8,24183,60063,64.147
10,8,23909,55834,69.789
11,8,23639,52183,75.21
12,8,23343,48981,80.412
13,14,23009,46155,85.283
14,14,22670,43635,89.865
15,13,22342,41366,94.177
16,26,21958,80724,51.088
17,26,28249,72802,58.279
18,26,27792,65712,65.573
19,25,27347,59310,72.946
20,25,26918,53648,80.355
21,25,26478,48667,87.678
22,25,26060,44397,94.729
23,25,25628,40709,101.244
24,24,25196,37591,107.285
25,23,24779,35007,112.659
26,23,24386,32831,117.35
27,18,24004,31079,121.364
28,28,23570,73477,53.834
29,28,30992,64202,62.574
30,28,30481,55818,71.924
31,27,29999,48664,81.455
32,27,29524,42489,91.261
33,27,29064,37278,101.032
34,26,28582,33014,110.355
35,25,28140,29671,118.819
36,25,27745,27191,125.618
37,24,27331,25212,131.199
38,24,26918,23720,135.315
39,16,26475,22543,138.375
40,26,26045,54474,59.201
41,26,34215,45269,71.184
42,26,33729,37280,84.598
43,25,33227,30790,99.002
44,25,32720,25982,112.788
45,25,32239,22483,125.043
46,24,31722,20192,133.99
47,24,31234,18659,139.967
48,24,30803,17607,143.474
49,24,30342,16857,145.512
50,24,29848,16258,146.62
51,21,29447,15712,147.358
52,31,28986,36494,64.885
53,29,37948,27448,84.291
54,29,37433,20775,107.033
55,29,36886,16605,127.641
56,28,36345,14555,139.856
57,27,35809,13477,145.85
58,27,35273,12879,148.173
59,27,34737,12430,149.015
60,26,34178,12049,149.313
61,25,33669,11707,149.371
62,25,33186,11359,149.452
63,22,32675,11045,149.498
64,31,32138,23252,71.793
65,29,42326,15199,105.596
66,27,41719,11261,135.462
67,27,41116,10032,146.399
68,27,40516,9573,148.913
69,26,39949,9250,149.469
70,25,39397,8926,149.545
71,23,38873,8628,149.532
72,23,38359,8372,149.538
73,23,37796,8146,149.525
74,23,37276,7898,149.582
75,15,36724,7687,149.577
76,25,36188,13543,84.962
77,25,47623,8153,134.322
78,25,46970,7134,148.576
79,24,46360,6873,149.506
80,24,45715,6687,149.571
81,24,45109,6507,149.503
82,24,44514,6324,149.598
83,24,43908,6154,149.476
84,24,43328,5983,149.463
85,24,42752,5822,149.488
86,24,42184,5666,149.498
87,18,41655,5513,149.531
88,30,41003,7537,107.937
89,30,53681,5255,148.219
90,30,52991,5052,149.421
91,29,52324,4917,149.399
92,29,51634,4779,149.384
93,29,50932,4646,149.39
94,28,50219,4523,149.338
95,27,49534,4387,149.23
96,26,48863,4253,149.218
97,26,48162,4124,149.287
98,25,47516,4004,149.279
99,21,46910,3903,149.273
100,33,46200,4124,137.629
101,33,60838,3684,149.29
102,33,60029,3557,149.284
103,33,59234,3436,149.146
104,33,58413,3330,149.053
105,32,57588,3237,148.954
106,31,56776,3145,148.959
107,31,55975,3069,148.917
108,31,55183,2967,148.793
109,31,54460,2881,148.791
110,31,53737,2799,148.741
111,23,52968,2713,148.876
112,35,52246,2648,147.948
113,34,68939,2548,148.764
114,33,68000,2462,148.607
115,33,67092,2407,148.576
116,32,66254,2335,148.562
117,32,65398,2265,148.491
118,32,64521,2202,148.537
119,32,63689,2136,148.567
120,32,62868,2085,148.464
