month,wPop,ePop,mAHeight
1,9,18751,39.475
2,9,18505,44.056
3,9,18250,48.75
4,13,17995,36.012
5,13,25227,41.347
6,13,24876,46.931
7,12,24541,52.69
8,12,24217,58.473
9,12,23901,64.215
10,12,23583,69.754
11,12,23269,75.057
12,12,22960,80.197
13,23,22575,85.043
14,23,22186,89.702
15,22,21805,94.11
16,38,21348,50.901
17,37,27383,58.07
18,36,26843,65.352
19,35,26333,72.586
20,33,25879,79.823
21,33,25372,87.007
22,32,24875,93.943
23,31,24442,100.484
24,31,24007,106.513
25,31,23565,111.967
26,31,23127,116.804
27,29,22701,121.156
28,43,22190,53.617
29,43,29172,61.967
30,43,28593,70.589
31,42,28027,79.759
32,40,27506,88.976
33,38,26983,98.217
34,37,26448,107.238
35,34,25943,115.419
36,33,25458,122.829
37,33,24988,128.909
38,33,24494,133.804
39,24,24044,137.692
40,41,23574,58.671
41,41,30870,69.553
42,40,30300,81.232
43,39,29763,93.954
44,38,29255,106.731
45,37,28730,118.519
46,36,28212,128.503
47,36,27686,136.23
48,36,27146,141.534
49,35,26606,145.23
50,35,26128,147.539
51,30,25669,148.889
52,42,25129,62.894
53,42,32704,78.455
54,40,32111,96.34
55,39,31498,114.618
56,39,30943,130.207
57,38,30386,141.205
58,37,29813,147.464
59,37,29258,150.395
60,37,28755,151.623
61,34,28180,152.173
62,33,27667,152.483
63,25,27146,152.668
64,39,26598,67.666
65,39,34970,92.574
66,38,34387,120.128
67,37,33774,140.088
68,36,33185,148.756
69,35,32638,151.971
70,34,32093,152.824
71,34,31550,153.05
72,34,31016,153.09
73,33,30474,153.076
74,32,29992,153.131
75,25,29502,153.187
76,41,28937,75.518
77,41,37940,117.111
78,41,37354,145.522
79,41,36706,152.264
80,41,36072,153.145
81,41,35426,153.172
82,40,34801,153.206
83,40,34230,153.314
84,39,33620,153.303
85,39,33033,153.327
86,38,32459,153.451
87,27,31852,153.499
88,43,31270,92.482
89,42,40775,144.065
90,41,40106,153.108
91,40,39416,153.421
92,40,38797,153.465
93,40,38147,153.461
94,40,37524,153.478
95,39,36861,153.36
96,39,36232,153.367
97,39,35633,153.328
98,39,34980,153.311
99,29,34378,153.4
100,45,33774,116.761
101,45,44145,152.329
102,44,43430,153.162
103,44,42710,153.102
104,43,41998,153.157
105,40,41304,153.125
106,40,40623,153.009
107,40,39904,153.048
108,40,39273,152.995
109,40,38624,152.894
110,37,37969,152.951
111,29,37360,152.975
112,46,36663,145.301
113,46,48162,152.999
114,46,47395,152.98
115,46,46602,152.996
116,46,45827,153.042
117,46,45058,152.887
118,44,44307,152.835
119,44,43587,152.723
120,44,42898,152.374
