month,wPop,ePop,mAHeight
1,10,18742,39.549
2,10,18472,44.134
3,10,18207,48.804
4,15,17916,35.955
5,15,25220,41.254
6,15,24898,46.811
7,15,24561,52.601
8,15,24224,58.367
9,15,23870,64.113
10,15,23502,69.684
11,15,23172,75.054
12,15,22827,80.231
13,26,22441,85.102
14,26,22011,89.791
15,25,21648,94.13
16,41,21155,51.01
17,41,27216,58.174
18,41,26689,65.317
19,41,26175,72.532
20,40,25610,79.701
21,40,25103,86.645
22,39,24596,93.424
23,38,24106,99.924
24,38,23624,105.916
25,38,23146,111.397
26,36,22668,116.321
27,29,22181,120.622
28,48,21649,53.56
29,48,28330,61.802
30,47,27719,70.295
31,46,27119,79.136
32,45,26579,88.303
33,45,26025,97.406
34,45,25461,106.158
35,45,24915,114.497
36,45,24342,121.829
37,45,23796,127.973
38,45,23262,132.967
39,36,22759,137.213
40,47,22216,58.481
41,47,28978,68.835
42,46,28354,79.882
43,46,27789,91.584
44,44,27240,103.388
45,42,26711,114.932
46,41,26195,125.13
47,41,25655,133.453
48,40,25157,139.413
49,40,24625,143.698
50,40,24103,146.662
51,28,23597,148.567
52,42,23072,62.418
53,42,30176,76.756
54,42,29584,92.98
55,41,29049,110.178
56,40,28515,125.764
57,40,27961,137.853
58,39,27425,145.53
59,38,26922,149.726
60,37,26406,151.72
61,35,25911,152.625
62,34,25393,153.19
63,27,24908,153.408
64,43,24387,66.937
65,42,31968,89.602
66,42,31398,115.282
67,42,30814,135.737
68,40,30241,147.693
69,40,29714,152.211
70,39,29155,153.614
71,39,28622,154.018
72,39,28092,154.312
73,39,27553,154.317
74,37,27018,154.385
75,28,26513,154.431
76,46,25929,73.843
77,46,33952,110.049
78,46,33311,140.696
79,45,32710,151.796
80,44,32117,153.881
81,44,31505,154.276
82,44,30892,154.49
83,43,30297,154.57
84,43,29720,154.583
85,41,29173,154.425
86,41,28606,154.415
87,33,28053,154.372
88,46,27474,85.73
89,45,35925,138.709
90,45,35293,153.027
91,45,34669,154.202
92,44,34022,154.199
93,44,33392,154.175
94,44,32803,154.155
95,43,32175,154.186
96,42,31578,154.245
97,42,30994,154.229
98,41,30422,154.213
99,33,29883,154.339
100,50,29270,105.912
101,48,38366,152.303
102,46,37675,154.417
103,44,37044,154.557
104,44,36395,154.624
105,44,35797,154.502
106,44,35134,154.392
107,43,34503,154.456
108,42,33912,154.555
109,41,33335,154.322
110,39,32744,154.442
111,30,32177,154.542
112,47,31566,137.007
113,46,41459,154.537
114,46,40761,154.507
115,46,40046,154.388
116,45,39333,154.411
117,44,38672,154.392
118,44,38016,154.572
119,44,37370,154.619
120,44,36691,154.627
