month,wPop,ePop,mAHeight
1,10,18745,39.462
2,10,18509,44.033
3,10,18260,48.707
4,17,17938,35.938
5,17,25266,41.205
6,16,24888,46.712
7,16,24539,52.47
8,16,24193,58.249
9,15,23856,63.997
10,15,23524,69.587
11,15,23191,74.96
12,15,22843,80.112
13,26,22487,85.047
14,26,22105,89.671
15,25,21720,94.038
16,44,21239,50.991
17,44,27192,58.125
18,44,26633,65.305
19,42,26090,72.489
20,42,25600,79.591
21,41,25097,86.627
22,41,24576,93.395
23,41,24036,99.86
24,41,23543,105.755
25,40,23018,111.28
26,40,22539,116.275
27,34,22044,120.666
28,47,21511,53.476
29,47,28224,61.548
30,46,27601,69.901
31,46,27040,78.592
32,45,26488,87.547
33,44,25975,96.337
34,41,25455,105.041
35,41,24919,113.152
36,41,24430,120.656
37,39,23915,127.264
38,38,23427,132.66
39,25,22933,136.85
40,40,22487,58.216
41,38,29489,68.272
42,37,28923,79.364
43,37,28394,91.16
44,37,27890,103.183
45,37,27367,114.714
46,36,26833,124.879
47,34,26297,133.427
48,34,25849,139.647
49,34,25364,144.287
50,34,24890,147.187
51,27,24418,149.152
52,42,23899,62.382
53,42,31101,76.53
54,41,30519,92.596
55,40,29964,109.94
56,39,29414,126.013
57,39,28877,137.995
58,39,28358,145.444
59,39,27828,149.699
60,38,27285,151.923
61,38,26749,153.081
62,37,26238,153.758
63,31,25754,154.136
64,47,25149,66.913
65,47,32796,88.898
66,47,32156,114.695
67,47,31528,136.735
68,47,30904,148.254
69,47,30318,152.727
70,47,29666,154.152
71,47,29085,154.659
72,47,28475,154.779
73,46,27898,154.917
74,46,27335,155.006
75,37,26807,155.038
76,53,26199,73.943
77,53,34072,109.958
78,53,33379,141.358
79,53,32673,151.684
80,53,32006,154.539
81,53,31368,154.825
82,52,30689,154.94
83,50,30050,155.042
84,50,29434,155.026
85,50,28799,155.085
86,49,28170,155.123
87,37,27592,155.133
88,52,26975,83.679
89,51,35232,135.034
90,50,34500,153.275
91,50,33837,154.919
92,49,33180,155.116
93,48,32507,155.101
94,47,31850,155.191
95,44,31235,155.054
96,43,30651,155.105
97,41,30061,155.1
98,41,29470,155.201
99,34,28900,155.378
100,49,28290,104.463
101,48,37087,152.615
102,46,36437,155.152
103,45,35784,155.272
104,45,35111,155.296
105,44,34475,155.359
106,44,33836,155.382
107,43,33219,155.338
108,43,32611,155.498
109,43,32009,155.762
110,43,31415,155.807
111,35,30809,155.787
112,47,30190,133.386
113,46,39496,155.613
114,45,38809,155.749
115,44,38163,155.887
116,43,37513,155.861
117,43,36854,155.922
118,42,36198,156.023
119,42,35544,155.917
120,41,34897,155.995
