month,wPop,ePop,mAHeight
1,23,18654,39.58
2,23,18308,44.179
3,23,17968,48.877
4,38,17525,36.047
5,38,24557,41.334
6,37,24031,46.879
7,37,23541,52.626
8,36,23080,58.352
9,36,22617,64.021
10,36,22157,69.529
11,36,21693,74.894
12,36,21252,79.989
13,62,20626,84.861
14,61,20008,89.533
15,60,19393,93.975
16,102,18500,50.682
17,102,23244,57.346
18,100,22315,64.016
19,98,21442,70.658
20,97,20557,77.31
21,95,19705,83.722
22,94,18887,89.939
23,93,18107,95.894
24,90,17274,101.615
25,89,16511,107.147
26,89,15780,112.324
27,78,15071,117.109
28,117,14185,52.184
29,116,18044,58.426
30,114,17128,64.821
31,114,16241,71.181
32,113,15344,77.446
33,109,14471,83.628
34,107,13594,89.79
35,105,12769,95.612
36,104,11956,101.488
37,102,11180,107.157
38,102,10393,112.579
39,73,9631,117.86
40,113,8768,54.044
41,109,10903,59.413
42,107,10071,64.735
43,106,9299,69.933
44,103,8554,75.098
45,100,7834,80.079
46,99,7072,85.099
47,98,6344,89.975
48,98,5637,94.719
49,96,4942,99.255
50,93,4299,103.724
51,73,3657,108.034
52,113,2899,52.037
53,112,3013,56.477
54,112,2233,60.772
55,112,1441,65.015
56,111,681,69.107
57,108,2,73.12
58,106,2,77.191
59,105,2,81.152
60,105,2,85.128
61,103,2,89.076
62,102,2,93.041
63,81,2,97.007
64,116,2,50.328
65,116,3,54.543
66,115,2,58.778
67,114,2,62.986
68,112,2,67.232
69,109,2,71.424
70,105,2,75.658
71,103,2,79.869
72,100,2,84.106
73,96,2,88.328
74,96,2,92.59
75,72,2,96.82
76,113,2,50.304
77,113,2,54.687
78,112,2,59.038
79,111,2,63.381
80,110,2,67.732
81,109,2,72.047
82,106,2,76.359
83,105,2,80.728
84,104,2,85.086
85,104,2,89.366
86,104,2,93.748
87,79,2,98.096
88,118,2,50.635
89,118,1,55.068
90,118,1,59.448
91,118,1,63.842
92,116,1,68.247
93,113,1,72.684
94,110,1,77.074
95,110,1,81.483
96,109,1,85.908
97,108,1,90.318
98,108,1,94.707
99,79,1,99.12
100,116,1,50.849
101,113,1,55.296
102,112,1,59.75
103,110,1,64.181
104,109,1,68.614
105,108,1,73.061
106,107,1,77.528
107,106,1,81.943
108,106,1,86.413
109,104,1,90.835
110,103,1,95.264
111,78,1,99.774
112,112,1,50.932
113,112,1,55.382
114,111,1,59.818
115,109,1,64.264
116,109,1,68.742
117,106,1,73.199
118,104,1,77.643
119,104,1,82.118
120,102,1,86.56
