month,wPop,ePop,mAHeight
1,14,18697,39.461
2,14,18413,44.044
3,12,18151,48.718
4,21,17814,35.942
5,21,25014,41.276
6,21,24675,46.791
7,21,24247,52.507
8,20,23870,58.295
9,19,23510,63.976
10,18,23158,69.533
11,18,22825,74.847
12,17,22481,79.982
13,33,22035,84.848
14,32,21588,89.501
15,32,21142,93.891
16,51,20599,50.824
17,50,26409,57.859
18,48,25825,64.911
19,47,25258,71.96
20,47,24749,78.976
21,47,24153,85.862
22,47,23646,92.74
23,46,23124,99.185
24,46,22602,105.233
25,46,22082,110.717
26,46,21601,115.763
27,41,21096,120.259
28,57,20507,53.302
29,55,26858,61.079
30,55,26233,69.19
31,55,25645,77.412
32,54,25031,85.884
33,52,24436,94.545
34,51,23852,103.038
35,49,23278,111.237
36,48,22721,118.579
37,46,22161,125.126
38,45,21637,130.959
39,36,21137,135.662
40,60,20523,57.808
41,57,26668,67.065
42,57,26024,76.936
43,56,25405,87.342
44,55,24810,97.952
45,55,24221,108.716
46,55,23649,118.766
47,51,23031,127.602
48,51,22506,134.913
49,50,21954,140.714
50,50,21414,145.055
51,43,20901,148.118
52,62,20296,61.237
53,61,26284,73.312
54,61,25619,86.481
55,59,24952,100.209
56,59,24325,114.306
57,59,23695,127.048
58,58,23047,137.579
59,58,22412,144.936
60,54,21852,149.748
61,52,21282,152.862
62,50,20754,154.496
63,38,20213,155.396
64,59,19599,64.291
65,58,25400,80.43
66,56,24750,98.875
67,56,24147,117.945
68,55,23559,134.661
69,54,22956,145.774
70,51,22405,152.081
71,51,21838,155.015
72,50,21269,156.414
73,50,20717,157.128
74,50,20181,157.281
75,33,19648,157.394
76,56,19079,68.66
77,55,24818,92.625
78,53,24218,120.14
79,52,23612,142.078
80,52,23034,152.705
81,51,22453,156.189
82,51,21890,157.414
83,51,21363,157.861
84,51,20856,158.004
85,51,20288,157.942
86,51,19754,158.062
87,39,19228,158.016
88,62,18625,73.087
89,62,24073,107.984
90,61,23433,140.078
91,60,22805,154.09
92,60,22196,157.522
93,59,21591,157.975
94,56,20996,158.132
95,55,20435,158.099
96,54,19876,158.076
97,54,19321,157.974
98,53,18789,158.002
99,38,18230,157.889
100,61,17652,81.293
101,61,22850,130.606
102,60,22240,153.398
103,57,21657,157.679
104,55,21048,157.982
105,52,20493,158.004
106,51,19962,157.983
107,48,19413,157.992
108,47,18921,158.069
109,47,18433,158.128
110,47,17927,158.076
111,36,17414,158.004
112,61,16832,93.495
113,61,21796,147.982
114,61,21168,157.23
115,61,20574,157.828
116,61,19977,157.653
117,59,19397,157.816
118,58,18804,157.687
119,57,18236,157.535
120,57,17658,157.622
