month,wPop,ePop,mAHeight
1,18,18707,39.485
2,18,18410,44.055
3,18,18130,48.752
4,32,17737,36.013
5,30,24943,41.323
6,29,24496,46.879
7,28,24107,52.606
8,27,23712,58.422
9,27,23276,64.17
10,26,22877,69.662
11,24,22490,75.011
12,24,22122,80.191
13,47,21569,85.069
14,47,21054,89.73
15,46,20521,94.078
16,79,19823,50.797
17,75,25115,57.661
18,73,24374,64.631
19,73,23661,71.506
20,73,22956,78.286
21,72,22229,85.061
22,72,21537,91.697
23,71,20875,98.065
24,71,20216,104.008
25,71,19544,109.341
26,71,18849,114.353
27,61,18242,118.95
28,93,17500,52.967
29,93,22628,60.003
30,92,21758,67.223
31,90,20932,74.482
32,90,20147,81.767
33,87,19356,89.202
34,85,18597,96.401
35,81,17848,103.439
36,81,17125,110.217
37,81,16406,116.742
38,80,15745,122.72
39,59,15062,128.254
40,92,14328,55.863
41,90,18313,62.909
42,88,17550,69.926
43,86,16806,77.011
44,85,16079,84.241
45,84,15363,91.464
46,81,14665,98.524
47,80,14002,105.389
48,77,13281,112.231
49,67,12659,118.525
50,66,12110,124.541
51,54,11546,130.213
52,81,10873,56.34
53,80,13733,62.686
54,79,13060,69.123
55,77,12410,75.523
56,77,11770,81.989
57,76,11122,88.452
58,74,10510,94.799
59,74,9932,101.047
60,73,9362,107.116
61,73,8773,112.979
62,73,8198,118.57
63,58,7614,123.705
64,89,6962,55.113
65,88,8596,60.566
66,87,7909,65.94
67,84,7263,71.191
68,84,6673,76.296
69,82,6050,81.362
70,80,5471,86.403
71,79,4900,91.361
72,79,4335,96.107
73,79,3741,100.631
74,76,3195,104.965
75,59,2624,109.154
76,83,2084,52.242
77,83,2170,56.552
78,82,1599,60.772
79,79,1076,64.9
80,78,549,69.025
81,78,42,73.018
82,77,2,76.851
83,75,2,80.691
84,75,2,84.653
85,74,2,88.529
86,74,2,92.417
87,61,2,96.304
88,90,2,50.296
89,90,3,54.476
90,89,3,58.695
91,88,3,62.874
92,86,3,67.085
93,84,3,71.262
94,82,3,75.42
95,77,3,79.589
96,76,3,83.824
97,75,3,88.051
98,74,3,92.239
99,61,2,96.397
100,83,2,50.206
101,83,2,54.523
102,83,2,58.871
103,80,2,63.245
104,79,2,67.609
105,79,2,71.938
106,77,2,76.26
107,75,2,80.576
108,74,2,84.908
109,72,2,89.247
110,70,2,93.577
111,56,2,97.944
112,84,2,50.659
113,83,3,55.064
114,81,3,59.478
115,79,3,63.89
116,79,3,68.29
117,79,3,72.696
118,79,3,77.132
119,78,3,81.537
120,77,3,85.944
